FORECAST_DATE,INFORMATION_DATE,CURRENT_STATE,DYNAMIC_MODEL_ID,FIXED_P_TO_0,DYNAMIC_P_TO_0,FIXED_P_TO_1,DYNAMIC_P_TO_1,FIXED_P_TO_2,DYNAMIC_P_TO_2,FIXED_P_TO_3,DYNAMIC_P_TO_3,FIXED_ROW_SUM,DYNAMIC_ROW_SUM
2017-01-03,2016-12-30,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.9735311043485925,0.025470001780594585,0.012328540283403296,0.023757427860250556,0.012666564526056062,0.00023317031779450392,0.001473790841947919,1.0,0.9999999999999997
2017-01-04,2017-01-03,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.9746506418945571,0.025470001780594585,0.011192372063894344,0.023757427860250556,0.012678657166951362,0.00023317031779450392,0.0014783288745972268,1.0,1.0
2017-01-05,2017-01-04,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.979524659772206,0.025470001780594585,0.009769610592430669,0.023757427860250556,0.009604603538622282,0.00023317031779450392,0.0011011260967408519,1.0,0.9999999999999998
2017-01-06,2017-01-05,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.978349682719437,0.025470001780594585,0.008970901680114895,0.023757427860250556,0.01147006013787941,0.00023317031779450392,0.0012093554625687462,1.0,1.0000000000000002
2017-01-09,2017-01-06,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.976761108480723,0.025470001780594585,0.012065047417080121,0.023757427860250556,0.009894687051374586,0.00023317031779450392,0.0012791570508222843,1.0,1.0
2017-01-10,2017-01-09,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.9729475826547238,0.025470001780594585,0.01209240197864598,0.023757427860250556,0.013442328546100293,0.00023317031779450392,0.0015176868205297451,1.0,0.9999999999999999
2017-01-11,2017-01-10,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.975839126727111,0.025470001780594585,0.011885491010049895,0.023757427860250556,0.010983864856406483,0.00023317031779450392,0.0012915174064324017,1.0,0.9999999999999998
2017-01-12,2017-01-11,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.9782286208001056,0.025470001780594585,0.010757903360779681,0.023757427860250556,0.009848378252969713,0.00023317031779450392,0.0011650975861449647,1.0,0.9999999999999999
2017-01-13,2017-01-12,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.9807925862833646,0.025470001780594585,0.009487431368919831,0.023757427860250556,0.00881466055453736,0.00023317031779450392,0.0009053217931782334,1.0,1.0
2017-01-17,2017-01-13,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.978260758784014,0.025470001780594585,0.010736984918807261,0.023757427860250556,0.009893526762407378,0.00023317031779450392,0.0011087295347714118,1.0,1.0
2017-01-18,2017-01-17,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.9794682677677621,0.025470001780594585,0.009239318741462367,0.023757427860250556,0.010259914183110265,0.00023317031779450392,0.0010324993076654305,1.0,1.0
