CLASS,TERM,TRANSFORMED_FEATURE,COEFFICIENT
0,DURATION_STATE_3,DURATION_STATE_3__basis_0,0.22862397228118603
0,DURATION_STATE_3,DURATION_STATE_3__basis_1,0.14955761449252544
0,DURATION_STATE_3,DURATION_STATE_3__basis_2,0.023336735001038576
0,DURATION_STATE_3,DURATION_STATE_3__basis_3,-0.05706852463281241
0,DURATION_STATE_3,DURATION_STATE_3__basis_4,-0.09121529619837965
0,DURATION_STATE_3,DURATION_STATE_3__basis_5,-0.11535729595489283
0,DURATION_STATE_3,DURATION_STATE_3__basis_6,-0.13900627757357042
1,INTERCEPT,INTERCEPT,-0.0006430608316229559
1,STATE_LAG_0,STATE_LAG_0__basis_0,-0.11691468331575343
1,STATE_LAG_0,STATE_LAG_0__basis_1,0.3073199218546599
1,STATE_LAG_0,STATE_LAG_0__basis_2,-0.13574128071571323
1,SPXT_LAG_0,SPXT_LAG_0__basis_0,0.03961162818319773
1,SPXT_LAG_0,SPXT_LAG_0__basis_1,0.03407851682417173
1,SPXT_LAG_0,SPXT_LAG_0__basis_2,0.03259056976859423
1,SPXT_LAG_0,SPXT_LAG_0__basis_3,0.022522411520030795
1,SPXT_LAG_0,SPXT_LAG_0__basis_4,-0.02790965087492853
1,SPXT_LAG_0,SPXT_LAG_0__basis_5,-0.046668240651749446
1,SPXT_LAG_0,SPXT_LAG_0__basis_6,-0.05994824806004328
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_0,-0.017946675820521278
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_1,-0.013639295188343638
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_2,-0.007402719483738318
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_3,0.007402533285355396
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_4,0.0284319220500214
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_5,0.013093092518791661
1,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_6,-0.009618858694571589
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_0,0.01782645874557248
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_1,0.016914493419837327
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_2,0.019229540207638465
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_3,0.024296585035500553
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_4,-0.0005888495467071677
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_5,-0.03287404441576343
1,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_6,-0.04852304556184994
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_0,0.04198438162726438
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_1,0.03472782783811332
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_2,0.027461362538063135
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_3,0.011818218542137555
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_4,-0.022027759443571566
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_5,-0.04412874283316898
1,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_6,-0.05570462502123716
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_0,-0.012283561457376262
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_1,-0.0058606043819229405
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_2,0.007216732682063091
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_3,0.03731935381526103
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_4,0.03660322217752472
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_5,-0.01603556499882697
1,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_6,-0.04420151069999812
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_0,0.010365233309797326
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_1,0.008876822102963585
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_2,0.006164416346746844
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_3,0.010959188269118859
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_4,0.0027985785221528404
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_5,-0.01667141578683533
1,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_6,-0.025685037787922214
1,DURATION_STATE_0,DURATION_STATE_0__basis_0,0.07658380384429807
1,DURATION_STATE_0,DURATION_STATE_0__basis_1,0.028225514819662924
1,DURATION_STATE_0,DURATION_STATE_0__basis_2,-0.04689542885204631
1,DURATION_STATE_0,DURATION_STATE_0__basis_3,-0.048686120706470784
1,DURATION_STATE_0,DURATION_STATE_0__basis_4,-0.019319268665385147
1,DURATION_STATE_0,DURATION_STATE_0__basis_5,-0.010039716652062157
1,DURATION_STATE_0,DURATION_STATE_0__basis_6,0.002360778927993638
1,DURATION_STATE_1,DURATION_STATE_1__basis_0,-0.42256972648479324
1,DURATION_STATE_1,DURATION_STATE_1__basis_1,-0.2506697606130436
1,DURATION_STATE_1,DURATION_STATE_1__basis_2,0.02193127871601707
1,DURATION_STATE_1,DURATION_STATE_1__basis_3,0.14513370006067147
1,DURATION_STATE_1,DURATION_STATE_1__basis_4,0.16895780611949088
1,DURATION_STATE_1,DURATION_STATE_1__basis_5,0.168358761535833
1,DURATION_STATE_1,DURATION_STATE_1__basis_6,0.17787532767360617
1,DURATION_STATE_2,DURATION_STATE_2__basis_0,0.24145431877889517
1,DURATION_STATE_2,DURATION_STATE_2__basis_1,0.15583696608014538
1,DURATION_STATE_2,DURATION_STATE_2__basis_2,0.02281813367132809
1,DURATION_STATE_2,DURATION_STATE_2__basis_3,-0.05789842374766621
1,DURATION_STATE_2,DURATION_STATE_2__basis_4,-0.09630345959002286
1,DURATION_STATE_2,DURATION_STATE_2__basis_5,-0.1221196568238153
1,DURATION_STATE_2,DURATION_STATE_2__basis_6,-0.14660920286746532
1,DURATION_STATE_3,DURATION_STATE_3__basis_0,0.1097087198847599
1,DURATION_STATE_3,DURATION_STATE_3__basis_1,0.07265791731290829
1,DURATION_STATE_3,DURATION_STATE_3__basis_2,0.015049626277660018
1,DURATION_STATE_3,DURATION_STATE_3__basis_3,-0.021590231639975324
1,DURATION_STATE_3,DURATION_STATE_3__basis_4,-0.04421481744221527
1,DURATION_STATE_3,DURATION_STATE_3__basis_5,-0.05978822000287592
1,DURATION_STATE_3,DURATION_STATE_3__basis_6,-0.07390198469924418
2,INTERCEPT,INTERCEPT,0.0012194676347784936
2,STATE_LAG_0,STATE_LAG_0__basis_0,-0.1632994190420774
2,STATE_LAG_0,STATE_LAG_0__basis_1,-0.1282060086453887
2,STATE_LAG_0,STATE_LAG_0__basis_2,0.32908092277170414
2,SPXT_LAG_0,SPXT_LAG_0__basis_0,0.011535214083818584
2,SPXT_LAG_0,SPXT_LAG_0__basis_1,0.012311826618607765
2,SPXT_LAG_0,SPXT_LAG_0__basis_2,0.01971887411680266
2,SPXT_LAG_0,SPXT_LAG_0__basis_3,0.0049139854760749955
2,SPXT_LAG_0,SPXT_LAG_0__basis_4,-0.011203686786921468
2,SPXT_LAG_0,SPXT_LAG_0__basis_5,-0.01181985633037468
2,SPXT_LAG_0,SPXT_LAG_0__basis_6,-0.01463216821303155
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_0,0.0288986356060732
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_1,0.02453048130185384
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_2,0.018544066720609004
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_3,0.0059951927213569515
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_4,-0.02510211400492004
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_5,-0.02358981957680728
2,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_6,-0.017515295143920376
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_0,-0.03552433549995131
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_1,-0.027042241961744644
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_2,-0.016668511387176902
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_3,-0.0005178060943102596
