N_STATES,MODEL,CANDIDATE,SPLIT,DELTA_LOG_LOSS_VERSUS_FULL,DELTA_BRIER_SCORE_VERSUS_FULL,DELTA_ACCURACY_VERSUS_FULL,DELTA_ECE_VERSUS_FULL,DELTA_EXIT_LOG_LOSS_VERSUS_FULL,DELTA_EXIT_BRIER_SCORE_VERSUS_FULL,DELTA_EXIT_ROC_AUC_VERSUS_FULL,DELTA_EXIT_AVERAGE_PRECISION_VERSUS_FULL,DELTA_EXIT_RECALL_AT_0_5_VERSUS_FULL
4,MLG,state_only,prediction,0.06838519424609213,0.02369930028440484,-0.03352601156069357,0.04739302566935744,0.05633341650005458,0.015003642421066221,-0.048777593164016086,-0.057133323478701425,0.07575757575757576
4,MLG,state_market,prediction,0.061803373983508714,0.019975700216914166,-0.016184971098265888,0.030359263823041098,0.05277562583968465,0.013086015287690794,-0.04292929292929293,-0.03941138868709071,0.0707070707070707
4,MLG,state_duration,prediction,-0.0009033188639160916,-0.0003863759696542124,0.005202312138728349,-0.0002364876768841881,-0.001808305850408587,-0.0004659128845413141,0.0007269166864467547,-0.005698287604826213,0.010101010101010097
4,MLG,state_market_restricted_duration,prediction,0.059153686108257886,0.017954279965728792,-0.005202312138728238,0.033993495073910966,0.04907487520035164,0.012283527861202584,-0.027507450483951867,-0.041103329746818684,0.0707070707070707
4,MLG,full,prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MLG,state_only,validation,0.04971988965623053,0.024298248026086378,-0.06296296296296289,-0.011243024274743288,0.0337893341203106,0.015033450664757642,-0.07136190409478071,-0.03761258629711797,0.07917888563049853
4,MLG,state_market,validation,0.04482454308497441,0.02311863862533825,-0.03756613756613758,-0.034703282624144315,0.031217094407410495,0.014429340584677597,-0.0633290988983527,-0.014594582457132854,0.07917888563049853
4,MLG,state_duration,validation,0.0022772510774146104,0.00037478075085434215,0.00846560846560851,0.010137852018595739,0.0007188173050690638,0.00022299398867445253,-0.0025188893032871418,-0.0015981792891587021,0.0
4,MLG,state_market_restricted_duration,validation,0.04079271194279743,0.01815967246374922,-0.007407407407407418,-0.02174484023806319,0.02252482709494097,0.011540080804002872,-0.03459994055383375,-0.011563307008428642,0.07917888563049853
4,MLG,full,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MLR,state_only,prediction,-0.019787385370812316,-0.004401530476447479,0.005202312138728349,0.005601906513264615,-0.008438691120965902,-0.0019181070836563896,0.010232877073608204,-0.012988791055970395,-0.005050505050505051
4,MLR,state_market,prediction,0.009513403040098067,0.002680043772011559,0.0011560693641619046,0.010685140354043346,0.01505249078610188,0.0016275509485885326,-0.04079634464751969,-0.021981796729023423,0.0
4,MLR,state_duration,prediction,-0.03265270500945916,-0.008764185450602174,0.005202312138728349,-0.006917519201558239,-0.028289123635582114,-0.004387250417626845,0.06149121765962495,0.028279111533725643,-0.005050505050505051
4,MLR,state_market_restricted_duration,prediction,0.009377826181148907,0.002679519539159403,0.0011560693641619046,0.011032037011414753,0.015211939498585125,0.0016615154230102541,-0.04714573937811539,-0.019136911881427604,0.0
4,MLR,full,prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MLR,state_only,validation,0.026393263560208546,0.009279477717420936,0.0,0.016664814821841248,0.035528246765683225,0.004917686949855921,-0.022636872904475358,-0.014851652965608919,0.0
4,MLR,state_market,validation,0.03719999943055041,0.009998665795712514,0.0,0.018140401769740452,0.04599128364960181,0.005467618975686067,-0.032776798577835664,-0.013919884317525472,0.0
4,MLR,state_duration,validation,-0.007979635080751613,-0.0003558173161605227,0.0,-0.0010854255515626854,-0.009131982884359569,-0.0003585716342477119,0.029142820360879895,0.018516927473395006,0.0
4,MLR,state_market_restricted_duration,validation,0.03965417658883219,0.009977382129114143,0.0,0.019651199205030292,0.04818540638965785,0.005548032781104439,-0.04580762539070715,-0.01680813001872905,0.0
4,MLR,full,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
