N_STATES,MODEL,CANDIDATE,SPLIT,FROM_STATE,TO_STATE,OBSERVED_TRANSITIONS,MEAN_PROBABILITY_ASSIGNED_TO_DESTINATION,MEDIAN_PROBABILITY_ASSIGNED_TO_DESTINATION,MEAN_DESTINATION_LOG_LOSS
4,MLR,state_only,validation,0,1,1,0.00022792937234670046,0.00022792937234670046,8.386474747407807
4,MLR,state_only,validation,0,2,135,0.03646685942563168,0.03646685942563167,3.3113513917815003
4,MLR,state_only,validation,0,3,1,0.00021044480381681121,0.00021044480381681121,8.466287153873086
4,MLR,state_only,validation,1,0,1,0.0017610657491169462,0.0017610657491169462,6.34183611392601
4,MLR,state_only,validation,1,2,32,0.022874469589168712,0.022874469589168712,3.777733855448128
4,MLR,state_only,validation,2,0,137,0.05861481831453609,0.058614818314536084,2.836767742104264
4,MLR,state_only,validation,2,1,29,0.002574335057705964,0.0025743350577059642,5.9621640082306495
4,MLR,state_only,validation,2,3,2,0.004642310321486778,0.004642310321486778,5.372543122548543
4,MLR,state_only,validation,3,1,2,0.12726121717777386,0.12726121717777386,2.061513476727129
4,MLR,state_only,validation,3,2,1,0.052213727484464754,0.052213727484464754,2.9524098400367698
4,MLR,state_market,validation,0,1,1,0.00021416509368497782,0.00021416509368497782,8.448763374551563
4,MLR,state_market,validation,0,2,135,0.03670477125075952,0.03639967562383357,3.3165642920342258
4,MLR,state_market,validation,0,3,1,0.00017972234768207744,0.00017972234768207744,8.624097410849208
4,MLR,state_market,validation,1,0,1,0.001794815720480984,0.001794815720480984,6.3228529249967576
4,MLR,state_market,validation,1,2,32,0.016652575227724207,0.015106783768835721,4.2585793538576695
4,MLR,state_market,validation,2,0,137,0.05956989024734542,0.05977988423069839,2.8381628627816733
4,MLR,state_market,validation,2,1,29,0.0029533597584709237,0.002104074860499757,6.1226388850844735
4,MLR,state_market,validation,2,3,2,0.006121038556907545,0.006121038556907545,5.102304749605345
4,MLR,state_market,validation,3,1,2,0.15207193159866156,0.15207193159866156,2.0770788438462198
4,MLR,state_market,validation,3,2,1,0.052218314659542686,0.052218314659542686,2.952321990082164
4,MLR,state_duration,validation,0,1,1,0.00023724838563706898,0.00023724838563706898,8.346402924977603
4,MLR,state_duration,validation,0,2,135,0.052417967275826,0.05446438269994485,2.9570370048184453
4,MLR,state_duration,validation,0,3,1,0.00016543472418283873,0.00016543472418283873,8.706933856763195
4,MLR,state_duration,validation,1,0,1,0.004894645009493829,0.004894645009493829,5.3196135266725815
4,MLR,state_duration,validation,1,2,32,0.03337270391391993,0.03471023045292725,3.4064192937945252
4,MLR,state_duration,validation,2,0,137,0.08570365879554863,0.0890754010162968,2.463842126331919
4,MLR,state_duration,validation,2,1,29,0.0013330014135684001,0.0012939139444807918,6.623733607704844
4,MLR,state_duration,validation,2,3,2,0.006193544480911134,0.006193544480911134,5.084967505735914
4,MLR,state_duration,validation,3,1,2,0.13232758472639944,0.13232758472639944,2.0225067909221472
4,MLR,state_duration,validation,3,2,1,0.05513330746538803,0.05513330746538803,2.8980012542496167
4,MLR,state_market_restricted_duration,validation,0,1,1,0.00012667643460825438,0.00012667643460825438,8.973874481556862
4,MLR,state_market_restricted_duration,validation,0,2,135,0.03423137394210831,0.03404448330168985,3.3860315131605114
4,MLR,state_market_restricted_duration,validation,0,3,1,0.00019596319194471238,0.00019596319194471238,8.537583712570118
4,MLR,state_market_restricted_duration,validation,1,0,1,0.0023253871328300074,0.0023253871328300074,6.063868745059771
4,MLR,state_market_restricted_duration,validation,1,2,32,0.020307695147402095,0.01902811211659393,4.075937311524074
4,MLR,state_market_restricted_duration,validation,2,0,137,0.06267283530232894,0.062389597541712846,2.7872459071031956
4,MLR,state_market_restricted_duration,validation,2,1,29,0.0022518799769898666,0.0017847611129331177,6.38547611750223
4,MLR,state_market_restricted_duration,validation,2,3,2,0.0045112414053124425,0.0045112414053124425,5.4411720309896285
4,MLR,state_market_restricted_duration,validation,3,1,2,0.16473738811350158,0.16473738811350158,1.9742519675375123
4,MLR,state_market_restricted_duration,validation,3,2,1,0.05738080869046507,0.05738080869046507,2.8580453749335115
4,MLR,full,validation,0,1,1,0.0002255125359654935,0.0002255125359654935,8.397134808701995
4,MLR,full,validation,0,2,135,0.052864681780544716,0.05327657661162743,2.962205772895358
4,MLR,full,validation,0,3,1,0.00012629599050040718,0.00012629599050040718,8.976882274951745
4,MLR,full,validation,1,0,1,0.004927392674259411,0.004927392674259411,5.312945300146822
4,MLR,full,validation,1,2,32,0.026550468285029747,0.022643248925377606,3.8560511220359146
4,MLR,full,validation,2,0,137,0.08781660305469928,0.08781793302483001,2.45559929967154
4,MLR,full,validation,2,1,29,0.0017737985527716475,0.0012557035078496251,6.697481860258022
4,MLR,full,validation,2,3,2,0.007789361476409509,0.007789361476409509,4.921292898473997
4,MLR,full,validation,3,1,2,0.37088353044051897,0.37088353044051897,1.008723289039
4,MLR,full,validation,3,2,1,0.08997046322785468,0.08997046322785468,2.40827384887397
4,MLR,state_only,prediction,0,2,74,0.03646685942563167,0.03646685942563167,3.3113513917815003
4,MLR,state_only,prediction,1,0,1,0.0017610657491169462,0.0017610657491169462,6.34183611392601
4,MLR,state_only,prediction,1,2,19,0.022874469589168712,0.022874469589168712,3.777733855448129
4,MLR,state_only,prediction,1,3,4,0.02166654209527184,0.02166654209527184,3.8319860472201297
4,MLR,state_only,prediction,2,0,72,0.05861481831453609,0.058614818314536084,2.836767742104264
4,MLR,state_only,prediction,2,1,20,0.002574335057705964,0.0025743350577059642,5.9621640082306495
4,MLR,state_only,prediction,2,3,2,0.004642310321486778,0.004642310321486778,5.372543122548543
4,MLR,state_only,prediction,3,1,4,0.12726121717777386,0.12726121717777386,2.061513476727129
4,MLR,state_only,prediction,3,2,2,0.052213727484464754,0.052213727484464754,2.9524098400367698
