N_STATES,MODEL,CANDIDATE,SPLIT,DELTA_LOG_LOSS_VERSUS_FULL,DELTA_BRIER_SCORE_VERSUS_FULL,DELTA_ACCURACY_VERSUS_FULL,DELTA_ECE_VERSUS_FULL,DELTA_EXIT_LOG_LOSS_VERSUS_FULL,DELTA_EXIT_BRIER_SCORE_VERSUS_FULL,DELTA_EXIT_ROC_AUC_VERSUS_FULL,DELTA_EXIT_AVERAGE_PRECISION_VERSUS_FULL,DELTA_EXIT_RECALL_AT_0_5_VERSUS_FULL
2,MLG,state_only,prediction,0.14330216570690207,0.09789086648234008,-0.18670520231213883,0.14922904511950644,0.14330216570690207,0.04894543324117004,-0.1335839450627515,-0.06790090065770481,0.5
2,MLG,state_market,prediction,0.12885998659704262,0.08701048516429735,-0.12543352601156077,0.09089671205194311,0.12885998659704262,0.04350524258214869,-0.05313165995737634,-0.025653588835485908,0.43902439024390244
2,MLG,state_duration,prediction,0.0010324704768257253,0.0005006286482836519,0.0005780346820808413,0.002006505164070577,0.0010324704768256698,0.00025031432414182597,-0.004203173099692092,-0.011033081366160102,0.0
2,MLG,state_market_restricted_duration,prediction,0.10673549262237086,0.062261409614984886,-0.04393063583815038,0.08530337011778334,0.10673549262237086,0.031130704807492443,-0.016990291262135915,-0.0324966668653959,0.06097560975609756
2,MLG,full,prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MLG,state_only,validation,0.09959221116293598,0.05911231546184714,-0.11058201058201056,0.11944808248766192,0.09959221116293598,0.02955615773092357,-0.11398926526289321,-0.08147191424462749,0.5053763440860215
2,MLG,state_market,validation,0.09354134167321204,0.055331262011131505,-0.08201058201058198,0.08950791786183626,0.09354134167321199,0.027665631005565752,-0.05814350081677355,-0.03849480289698684,0.4731182795698925
2,MLG,state_duration,validation,0.0006177408981690169,0.0004999369182122765,0.0,0.001847043449589976,0.0006177408981690169,0.00024996845910613824,-0.0006163199119200158,-0.014427533394610254,0.0
2,MLG,state_market_restricted_duration,validation,0.08394690064095311,0.04266136045204855,-0.01851851851851849,0.09525141338612839,0.08394690064095311,0.021330680226024273,-0.007832648201003933,-0.05156993901470297,0.043010752688172046
2,MLG,full,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MLR,state_only,prediction,0.008714739430924268,0.0007408791874910503,0.0,0.0038392105823838,0.008714739430924351,0.00037043959374552515,-0.03319618754439957,-0.020956424948625096,0.0
2,MLR,state_market,prediction,0.014167363769814145,0.0013619269741596968,0.0,0.006046118595481976,0.01416736376981409,0.0006809634870798484,-0.043178723656168594,-0.014455410446256367,0.0
2,MLR,state_duration,prediction,-0.004956501117314466,-0.0007066062131673018,0.0,-0.0028595873613946783,-0.004956501117314549,-0.0003533031065836509,0.07984178901255046,0.02127376453601236,0.0
2,MLR,state_market_restricted_duration,prediction,0.009039387677286959,0.0013335524348127986,0.0,0.005467227579535074,0.009039387677286903,0.0006667762174063993,0.031020601468150444,-0.007944462203123615,0.0
2,MLR,full,prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MLR,state_only,validation,0.011409007803776489,0.0014402385642418858,0.0,0.005370218982983451,0.0114090078037766,0.000720119282120936,-0.052991545048198474,-0.03594236731852621,0.0
2,MLR,state_market,validation,0.0161393227552023,0.0018711460410338748,0.0,0.0062110837832405445,0.016139322755202273,0.0009355730205169305,-0.05706045320456421,-0.024055868222642468,0.0
2,MLR,state_duration,validation,-0.004062205529022617,-0.0004270580321948936,0.0,-0.0009856088728618685,-0.004062205529022672,-0.00021352901609745373,0.05669544820818462,0.026627913473070114,0.0
2,MLR,state_market_restricted_duration,validation,0.01283982872726161,0.002113226893077677,0.0,0.005601065702858673,0.012839828727261526,0.0010566134465388316,0.012063115945931457,-0.019611401882676432,0.0
2,MLR,full,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
