LOG_LOSS,BRIER_SCORE,ACCURACY,ECE,EXIT_LOG_LOSS,EXIT_BRIER_SCORE,EXIT_RATE_ACTUAL,EXIT_RATE_PREDICTED,EXIT_RECALL_AT_0_5,EXIT_PRECISION_AT_0_5,EXIT_ROC_AUC,EXIT_AVERAGE_PRECISION,N_STATES,MODEL,CANDIDATE,SPLIT,SPLIT_START,SPLIT_END,EVAL_ROWS
0.6605315264297862,0.33163945192308836,0.8195767195767196,0.13068906691081053,0.5785890659471428,0.1639024004873859,0.18042328042328043,0.04973421351247008,0.0,0.0,0.5714650829501201,0.20908302493945383,4,MLR,state_only,validation,2009-06-02,2016-12-30,1890
0.671338262300128,0.33235864000137993,0.8195767195767196,0.13216465385870974,0.5890521028310614,0.16445233251321606,0.18042328042328043,0.0493307868402172,0.0,0.0,0.5613251572767598,0.21001479358753727,4,MLR,state_market,validation,2009-06-02,2016-12-30,1890
0.626158627788826,0.3220041568895069,0.8195767195767196,0.1129388265374066,0.5339288362971,0.15862614190328228,0.18042328042328043,0.06748445388587375,0.0,0.0,0.6232447762154754,0.24245160537845775,4,MLR,state_duration,validation,2009-06-02,2016-12-30,1890
0.6737924394584098,0.33233735633478156,0.8195767195767196,0.13367545129399958,0.5912462255711174,0.16453274631863443,0.18042328042328043,0.04923857813322305,0.0,0.0,0.5482943304638883,0.2071265478863337,4,MLR,state_market_restricted_duration,validation,2009-06-02,2016-12-30,1890
0.6341382628695776,0.3223599742056674,0.8195767195767196,0.11402425208896928,0.5430608191814595,0.15898471353753,0.18042328042328043,0.06810809698409544,0.0,0.0,0.5941019558545955,0.22393467790506275,4,MLR,full,validation,2009-06-02,2016-12-30,1890
0.44087195091341325,0.21180489741197622,0.8855491329479769,0.0654634931887947,0.38133835033636115,0.10445248468186477,0.11445086705202312,0.0489873738632284,0.0,0.0,0.6268098741989082,0.1525422694620304,4,MLR,state_only,prediction,2017-01-03,2023-12-05,1730
0.47017273932432363,0.21888647166043526,0.8815028901734104,0.07054672702957343,0.40482953224342894,0.1079981427141097,0.11445086705202312,0.0521009800826267,0.005050505050505051,0.1111111111111111,0.5757806524777803,0.14354926378897737,4,MLR,state_market,prediction,2017-01-03,2023-12-05,1730
0.4280066312747664,0.20744224243782153,0.8855491329479769,0.052944067473971845,0.36148791782174494,0.10198334134789432,0.11445086705202312,0.06150679957805128,0.0,0.0,0.678068214784925,0.19381017205172643,4,MLR,state_duration,prediction,2017-01-03,2023-12-05,1730
0.47003716246537447,0.2188859474275831,0.8815028901734104,0.07089362368694484,0.4049889809559122,0.10803210718853141,0.11445086705202312,0.051975957916116595,0.005050505050505051,0.1,0.5694312577471846,0.14639414863657318,4,MLR,state_market_restricted_duration,prediction,2017-01-03,2023-12-05,1730
0.46065933628422556,0.2162064278884237,0.8803468208092485,0.059861586675530085,0.38977704145732706,0.10637059176552116,0.11445086705202312,0.06540556468325336,0.005050505050505051,0.1,0.6165769971253,0.1655310605180008,4,MLR,full,prediction,2017-01-03,2023-12-05,1730
0.6167733451439255,0.33523185158361657,0.7470899470899471,0.037674582590869005,0.5139070974201109,0.16744831592345508,0.18042328042328043,0.21820058401354436,0.10557184750733138,0.20689655172413793,0.5651437215193228,0.20516828201892984,4,MLG,state_only,validation,2009-06-02,2016-12-30,1890
0.6118779985726693,0.33405224218286844,0.7724867724867724,0.014214324241467978,0.5113348577072108,0.16684420584337503,0.18042328042328043,0.21703455098097163,0.10557184750733138,0.20689655172413793,0.5731765267157508,0.22818628585891496,4,MLG,state_market,validation,2009-06-02,2016-12-30,1890
0.5693307065651095,0.31130838430838453,0.8185185185185185,0.05905545888420803,0.48083658060486933,0.1526378592473719,0.18042328042328043,0.16601364072264846,0.026392961876832845,0.13432835820895522,0.6339867363108164,0.2411826890268891,4,MLG,state_duration,validation,2009-06-02,2016-12-30,1890
0.6078461674304924,0.3290932760212794,0.8026455026455026,0.027172766627549104,0.5026425903947412,0.1639549460627003,0.18042328042328043,0.21908807081548892,0.10557184750733138,0.20689655172413793,0.6019056850602698,0.23121756130761917,4,MLG,state_market_restricted_duration,validation,2009-06-02,2016-12-30,1890
0.5670534554876949,0.3109336035575302,0.81005291005291,0.04891760686561229,0.48011776329980027,0.15241486525869744,0.18042328042328043,0.16603801780766178,0.026392961876832845,0.14754098360655737,0.6365056256141035,0.2427808683160478,4,MLG,full,validation,2009-06-02,2016-12-30,1890
0.4759084928510487,0.22867794687678028,0.8439306358381503,0.07874168193743125,0.39961031907751116,0.11520233042424427,0.11445086705202312,0.19900699143846196,0.15151515151515152,0.2912621359223301,0.6478030962365167,0.17320449625666903,4,MLG,state_only,prediction,2017-01-03,2023-12-05,1730
0.4693266725884653,0.2249543468092896,0.861271676300578,0.06170792009111491,0.3960525284171412,0.11328470329086884,0.11445086705202312,0.19575623795705258,0.14646464646464646,0.29,0.6536513964712398,0.19092643104827975,4,MLG,state_market,prediction,2017-01-03,2023-12-05,1730
0.40661997974104047,0.20459227062272123,0.8826589595375722,0.03111216859118962,0.341468596727048,0.09973277511863674,0.11445086705202312,0.12601453862542283,0.08585858585858586,0.32075471698113206,0.6973076060869795,0.22463953213054424,4,MLG,state_duration,prediction,2017-01-03,2023-12-05,1730
0.46667698471321445,0.22293292655810423,0.8722543352601156,0.06534215134198477,0.3923517777778082,0.11248221586438063,0.11445086705202312,0.1966073801002056,0.14646464646464646,0.29292929292929293,0.6690732389165809,0.18923448998855177,4,MLG,state_market_restricted_duration,prediction,2017-01-03,2023-12-05,1730
0.40752329860495656,0.20497864659237544,0.8774566473988439,0.03134865626807381,0.3432769025774566,0.10019868800317805,0.11445086705202312,0.12529278270374372,0.07575757575757576,0.3191489361702128,0.6965806894005327,0.23033781973537046,4,MLG,full,prediction,2017-01-03,2023-12-05,1730
