N_STATES,MODEL,SPLIT,FEATURE_GROUP,REPLICATE,BLOCK_LENGTH,GROUP_COLUMN_COUNT,BASELINE_LOG_LOSS,PERMUTED_LOG_LOSS,DELTA_LOG_LOSS,BASELINE_BRIER_SCORE,PERMUTED_BRIER_SCORE,DELTA_BRIER_SCORE,BASELINE_ACCURACY,PERMUTED_ACCURACY,DELTA_ACCURACY,BASELINE_ECE,PERMUTED_ECE,DELTA_ECE,BASELINE_EXIT_LOG_LOSS,PERMUTED_EXIT_LOG_LOSS,DELTA_EXIT_LOG_LOSS,BASELINE_EXIT_BRIER_SCORE,PERMUTED_EXIT_BRIER_SCORE,DELTA_EXIT_BRIER_SCORE
2,MLR,validation,market,1,20,6,0.19392111624429853,0.19340001003240231,-0.0005211062118962162,0.09242953555211775,0.09230496631512076,-0.00012456923699698252,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.02902668738090361,-6.720799199253641e-06,0.19392111624429853,0.19340001003240231,-0.0005211062118962162,0.04621476777605888,0.04615248315756038,-6.22846184984982e-05
2,MLR,validation,market,2,20,6,0.19392111624429853,0.19370241459735638,-0.00021870164694215433,0.09242953555211775,0.09224222987101183,-0.00018730568110592039,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029070492766820645,3.7084586717781726e-05,0.19392111624429853,0.19370241459735632,-0.00021870164694220984,0.04621476777605888,0.046121114935505914,-9.365284055296713e-05
2,MLR,validation,market,3,20,6,0.19392111624429853,0.1966690051787089,0.0027478889344103585,0.09242953555211775,0.09244158338082441,1.2047828706659991e-05,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029005687727087316,-2.7720453015547125e-05,0.19392111624429853,0.1966690051787089,0.0027478889344103585,0.04621476777605888,0.046220791690412204,6.023914353323057e-06
2,MLR,validation,market,4,20,6,0.19392111624429853,0.1919720009680625,-0.0019491152762360353,0.09242953555211775,0.0920107847288357,-0.00041875082328204916,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029066488518054347,3.3080337951484073e-05,0.19392111624429853,0.1919720009680625,-0.0019491152762360353,0.04621476777605888,0.04600539236441785,-0.00020937541164103152
2,MLR,validation,market,5,20,6,0.19392111624429853,0.19201974067705188,-0.0019013755672466492,0.09242953555211775,0.0919091682784821,-0.0005203672736356496,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029060722546437014,2.731436633415102e-05,0.19392111624429853,0.19201974067705188,-0.0019013755672466492,0.04621476777605888,0.04595458413924105,-0.00026018363681783174
2,MLR,validation,market,6,20,6,0.19392111624429853,0.1936119216880691,-0.00030919455622943626,0.09242953555211775,0.09228543927265269,-0.00014409627946505854,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.02902831848046743,-5.0896996354327095e-06,0.19392111624429853,0.19361192168806907,-0.000309194556229464,0.04621476777605888,0.046142719636326344,-7.204813973253621e-05
2,MLR,validation,market,7,20,6,0.19392111624429853,0.19100792643459155,-0.0029131898097069786,0.09242953555211775,0.09204142034004163,-0.000388115212076115,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029079978831628626,4.6570651525763146e-05,0.19392111624429853,0.1910079264345915,-0.002913189809707034,0.04621476777605888,0.046020710170020816,-0.00019405760603806443
2,MLR,validation,market,8,20,6,0.19392111624429853,0.19492958968260554,0.0010084734383070115,0.09242953555211775,0.09256859636970662,0.000139060817588868,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029108081348178987,7.467316807612326e-05,0.19392111624429853,0.19492958968260551,0.0010084734383069838,0.04621476777605888,0.04628429818485331,6.953040879442707e-05
2,MLR,validation,market,9,20,6,0.19392111624429853,0.1941444902373979,0.00022337399309937944,0.09242953555211775,0.09228511240027244,-0.00014442315184530485,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029020568348048628,-1.283983205423514e-05,0.19392111624429853,0.19414449023739788,0.0002233739930993517,0.04621476777605888,0.04614255620013622,-7.221157592265937e-05
2,MLR,validation,market,10,20,6,0.19392111624429853,0.19230984565776726,-0.001611270586531266,0.09242953555211775,0.09219327378955033,-0.0002362617625674135,0.9507936507936507,0.9507936507936507,0.0,0.029033408180102863,0.029054240953179253,2.0832773076389505e-05,0.19392111624429853,0.19230984565776726,-0.001611270586531266,0.04621476777605888,0.04609663689477517,-0.00011813088128371368
