N_STATES,MODEL,SPLIT,FEATURE_GROUP,PERMUTATIONS,BLOCK_LENGTH,GROUP_COLUMN_COUNT,DELTA_LOG_LOSS_MEAN,DELTA_LOG_LOSS_MEDIAN,DELTA_LOG_LOSS_CI_LOWER,DELTA_LOG_LOSS_CI_UPPER,DELTA_LOG_LOSS_POSITIVE_SHARE,DELTA_LOG_LOSS_ONE_SIDED_P_VALUE,DELTA_BRIER_SCORE_MEAN,DELTA_BRIER_SCORE_MEDIAN,DELTA_BRIER_SCORE_CI_LOWER,DELTA_BRIER_SCORE_CI_UPPER,DELTA_BRIER_SCORE_POSITIVE_SHARE,DELTA_BRIER_SCORE_ONE_SIDED_P_VALUE,DELTA_ACCURACY_MEAN,DELTA_ACCURACY_MEDIAN,DELTA_ACCURACY_CI_LOWER,DELTA_ACCURACY_CI_UPPER,DELTA_ACCURACY_POSITIVE_SHARE,DELTA_ACCURACY_ONE_SIDED_P_VALUE,DELTA_ECE_MEAN,DELTA_ECE_MEDIAN,DELTA_ECE_CI_LOWER,DELTA_ECE_CI_UPPER,DELTA_ECE_POSITIVE_SHARE,DELTA_ECE_ONE_SIDED_P_VALUE,DELTA_EXIT_LOG_LOSS_MEAN,DELTA_EXIT_LOG_LOSS_MEDIAN,DELTA_EXIT_LOG_LOSS_CI_LOWER,DELTA_EXIT_LOG_LOSS_CI_UPPER,DELTA_EXIT_LOG_LOSS_POSITIVE_SHARE,DELTA_EXIT_LOG_LOSS_ONE_SIDED_P_VALUE,DELTA_EXIT_BRIER_SCORE_MEAN,DELTA_EXIT_BRIER_SCORE_MEDIAN,DELTA_EXIT_BRIER_SCORE_CI_LOWER,DELTA_EXIT_BRIER_SCORE_CI_UPPER,DELTA_EXIT_BRIER_SCORE_POSITIVE_SHARE,DELTA_EXIT_BRIER_SCORE_ONE_SIDED_P_VALUE
2,MLG,prediction,duration,199,20,2,0.036742071396017095,0.03679191192984635,0.0227152539471861,0.05073462385047791,1.0,0.005,0.010370267630492737,0.010336517051200145,0.006119664005886744,0.01494879111725483,1.0,0.005,0.00022075696401076017,0.0005780346820808413,-0.0005780346820809523,0.0005780346820808413,0.5025125628140703,0.5,0.022017664297614863,0.02207013741671236,0.01304212663507504,0.030842334442600122,1.0,0.005,0.036742071396017095,0.03679191192984635,0.0227152539471861,0.05073462385047791,1.0,0.005,0.005185133815246368,0.005168258525600072,0.003059832002943372,0.007474395558627415,1.0,0.005
2,MLG,prediction,market,199,20,18,0.0013439446516136512,0.0013273555314686214,-7.107815784501008e-05,0.0025743259174404545,0.9597989949748744,0.045,0.0006759981556089965,0.0006640891648250768,-0.00012391493232347255,0.0015105959533887618,0.949748743718593,0.055,0.0002759462050134586,0.0005780346820808413,-0.0005780346820809523,0.0005780346820808413,0.5527638190954773,0.45,0.002307477098920055,0.0018715013714012147,-0.00033780759828564615,0.006974055284697006,0.9246231155778895,0.08,0.0013439446516136512,0.0013273555314686214,-7.10781578450087e-05,0.0025743259174404545,0.9597989949748744,0.045,0.00033799907780449826,0.0003320445824125384,-6.195746616173628e-05,0.0007552979766943809,0.949748743718593,0.055
2,MLG,validation,duration,199,20,2,0.03618040721544859,0.03624657840500098,0.021049009642947248,0.049850949168270764,1.0,0.005,0.010349864228825589,0.010340868668949024,0.00595006153743736,0.014687009406126493,1.0,0.005,0.0,0.0,0.0,0.0,0.0,1.0,0.019574363625103067,0.01922156314008263,0.0101815657444162,0.02768289254357653,1.0,0.005,0.03618040721544859,0.03624657840500098,0.021049009642947248,0.04985094916827082,1.0,0.005,0.0051749321144127945,0.005170434334474512,0.00297503076871868,0.007343504703063246,1.0,0.005
2,MLG,validation,market,199,20,18,0.0008924231247427407,0.0008769656889223709,-0.00011472014171104437,0.0019368835962616986,0.9296482412060302,0.075,0.0006790673187591988,0.0006897691993910382,4.4334221073968904e-05,0.0013752836611788583,0.9798994974874372,0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.0009413384721574384,0.0004271524316328719,-3.064358874392816e-05,0.003737305381845992,0.949748743718593,0.055,0.0008924231247427405,0.0008769656889223709,-0.00011472014171101662,0.0019368835962617235,0.9296482412060302,0.075,0.0003395336593795995,0.0003448845996955191,2.2167110536984452e-05,0.0006876418305894292,0.9798994974874372,0.025
2,MLR,prediction,duration,199,20,3,0.0062510301176717095,0.00628797601500275,0.002473650052923199,0.010149057545474014,1.0,0.005,0.0008122695220850656,0.0008270547552382407,0.0002586548341369607,0.001295868514595574,0.9899497487437185,0.015,0.0,0.0,0.0,0.0,0.0,1.0,0.0007085823236614544,0.0007220472344315818,-0.0014218594729048482,0.0026596629067707346,0.7437185929648241,0.26,0.006251030117671657,0.006287976015002694,0.002473650052923171,0.010149057545473959,1.0,0.005,0.00040613476104253286,0.00041352737761912034,0.00012932741706848035,0.000647934257297787,0.9899497487437185,0.015
2,MLR,prediction,market,199,20,6,-0.0006535789318441404,-0.00064407841290956,-0.004876901370302496,0.0034364205583602998,0.38190954773869346,0.62,-0.00017141688734158676,-0.00012198144578713654,-0.0009987374982005936,0.0005522788726296118,0.37185929648241206,0.63,0.0,0.0,0.0,0.0,0.0,1.0,-0.000796245252086836,-0.0009543239998718797,-0.0021437742326140467,0.0012646440175571726,0.1708542713567839,0.83,-0.0006535789318441969,-0.00064407841290956,-0.004876901370302551,0.003436420558360296,0.38190954773869346,0.62,-8.570844367079341e-05,-6.099072289356827e-05,-0.0004993687491002968,0.0002761394363148059,0.37185929648241206,0.63
2,MLR,validation,duration,199,20,3,0.0063697638886349005,0.006119412175149552,0.002025353950913794,0.011273310278164077,1.0,0.005,0.0006800929316924176,0.0006791920824562869,0.00024441964455433065,0.0012072901804654713,1.0,0.005,0.0,0.0,0.0,0.0,0.0,1.0,0.00015583643316963532,3.637845884985405e-05,-5.842347262672871e-05,0.001072417940303552,0.7386934673366834,0.265,0.006369763888634902,0.006119412175149608,0.0020253539509138482,0.011273310278164103,1.0,0.005,0.0003400464658462018,0.0003395960412281365,0.00012220982227715839,0.0006036450902327287,1.0,0.005
2,MLR,validation,market,199,20,6,0.00017540727263810888,0.00019864995699228616,-0.0032284648932765863,0.0034926793242031156,0.5226130653266332,0.48,-3.4616880381461006e-05,-4.639602715361679e-05,-0.0006108338590973747,0.000520329524708681,0.45226130653266333,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.00014040274306805067,3.057789230176758e-05,-4.500166088338055e-05,0.0013448065384629795,0.7587939698492462,0.245,0.0001754072726381082,0.00019864995699231391,-0.0032284648932765863,0.0034926793242031945,0.5226130653266332,0.48,-1.7308440190737476e-05,-2.3198013576815335e-05,-0.0003054169295486943,0.00026016476235433354,0.45226130653266333,0.55
