N_STATES,MODEL,SPLIT,FEATURE_GROUP,REPLICATE,BLOCK_LENGTH,GROUP_COLUMN_COUNT,BASELINE_LOG_LOSS,PERMUTED_LOG_LOSS,DELTA_LOG_LOSS,BASELINE_BRIER_SCORE,PERMUTED_BRIER_SCORE,DELTA_BRIER_SCORE,BASELINE_ACCURACY,PERMUTED_ACCURACY,DELTA_ACCURACY,BASELINE_ECE,PERMUTED_ECE,DELTA_ECE,BASELINE_EXIT_LOG_LOSS,PERMUTED_EXIT_LOG_LOSS,DELTA_EXIT_LOG_LOSS,BASELINE_EXIT_BRIER_SCORE,PERMUTED_EXIT_BRIER_SCORE,DELTA_EXIT_BRIER_SCORE
4,MLR,validation,market,1,20,6,0.6341382628695776,0.6445786879332638,0.010440425063686143,0.3223599742056674,0.3234596019041348,0.001099627698467387,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.1142283160636681,0.0002040639746988121,0.5430608191814595,0.5470384031072091,0.003977583925749539,0.15898471353753,0.15950053512819962,0.000515821590669624
4,MLR,validation,market,2,20,6,0.6341382628695776,0.6492941351106933,0.015155872241115698,0.3223599742056674,0.3237480983425698,0.001388124136902369,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11400726050267031,-1.699158629897557e-05,0.5430608191814595,0.554988826909904,0.01192800772844449,0.15898471353753,0.15967150374359082,0.0006867902060608277
4,MLR,validation,market,3,20,6,0.6341382628695776,0.6408067258421075,0.006668462972529876,0.3223599742056674,0.3219115133699351,-0.00044846083573230056,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11304159462080243,-0.0009826574681668504,0.5430608191814595,0.5451089726110755,0.002048153429615951,0.15898471353753,0.1586953368287671,-0.00028937670876288957
4,MLR,validation,market,4,20,6,0.6341382628695776,0.643054143068224,0.008915880198646309,0.3223599742056674,0.32295070064387343,0.0005907264382060129,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11405098591452598,2.6733825556693458e-05,0.5430608191814595,0.5457099135914412,0.0026490944099816227,0.15898471353753,0.15921883071360537,0.0002341171760753824
4,MLR,validation,market,5,20,6,0.6341382628695776,0.6413956288236633,0.007257365954085659,0.3223599742056674,0.32082570856031667,-0.001534265645350752,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.1131741924378432,-0.0008500596511260838,0.5430608191814595,0.5422073048403704,-0.0008535143410891566,0.15898471353753,0.15797681829530313,-0.0010078952422268583
4,MLR,validation,market,6,20,6,0.6341382628695776,0.6367377391840923,0.002599476314514626,0.3223599742056674,0.32221098705152834,-0.0001489871541390797,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11322230744852124,-0.0008019446404480407,0.5430608191814595,0.5479615112262867,0.004900692044827126,0.15898471353753,0.15885264598448673,-0.00013206755304326356
4,MLR,validation,market,7,20,6,0.6341382628695776,0.647418183974375,0.013279921104797365,0.3223599742056674,0.3233387878291484,0.0009788136234809564,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11424573807938582,0.00022148599041653394,0.5430608191814595,0.5520693627267615,0.009008543545302006,0.15898471353753,0.1594831251372038,0.0004984115996738148
4,MLR,validation,market,8,20,6,0.6341382628695776,0.6382388647400515,0.004100601870473897,0.3223599742056674,0.3226494152316047,0.00028944102593725374,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11318026418546386,-0.0008439879035054276,0.5430608191814595,0.5475117101349168,0.004450890953457298,0.15898471353753,0.15903012195782545,4.540842029546188e-05
4,MLR,validation,market,9,20,6,0.6341382628695776,0.6350519366286772,0.0009136737590995647,0.3223599742056674,0.3221865797515585,-0.00017339445410891052,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.11308276828340842,-0.000941483805560861,0.5430608191814595,0.5455344431009008,0.0024736239194412812,0.15898471353753,0.1588438850834609,-0.00014082845406909739
4,MLR,validation,market,10,20,6,0.6341382628695776,0.6381670704151015,0.004028807545523816,0.3223599742056674,0.3222927803525669,-6.719385310050008e-05,0.8195767195767196,0.8195767195767196,0.0,0.11402425208896928,0.112962759759452,-0.0010614923295172857,0.5430608191814595,0.5434459298756459,0.00038511069418634136,0.15898471353753,0.15889184536980533,-9.286816772466344e-05
