N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
2,STATE_LAG_0,0.02,0.0,1 vs 0,-3.653589453669673,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
2,STATE_LAG_0,0.02,1.0,1 vs 0,-2.2922072410275107,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
2,STATE_LAG_0,0.02,0.0,1 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,1924.0,17.0,1907.0,-4.6913478822291435,0.2401397583463912
2,STATE_LAG_0,0.02,1.0,1 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,392.0,376.0,16.0,3.1275576663334133,0.25151958791064477
2,SPXT_LAG_0,0.02,-0.0946,1 vs 0,-2.9870305390431913,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.09208291139240507,1 vs 0,-3.0004726405342703,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.08956582278481012,1 vs 0,-3.0139276813525027,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.08704873417721519,1 vs 0,-3.027391022018609,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.08453164556962026,1 vs 0,-3.040858023053311,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.08201455696202532,1 vs 0,-3.05432404497733,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.07949746835443039,1 vs 0,-3.0677844483113876,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.07698037974683544,1 vs 0,-3.0812345935762058,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.07446329113924051,1 vs 0,-3.094669841292507,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.07194620253164558,1 vs 0,-3.108085551981011,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.06942911392405063,1 vs 0,-3.1214770861624404,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.0669120253164557,1 vs 0,-3.134839804357516,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.06439493670886076,1 vs 0,-3.14816906708696,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.06187784810126583,1 vs 0,-3.161460234871494,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.05936075949367089,1 vs 0,-3.17470866823184,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.05684367088607595,1 vs 0,-3.1879097276887185,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.054326582278481014,1 vs 0,-3.201058746337523,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.05180949367088608,1 vs 0,-3.214145243104067,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.04929240506329114,1 vs 0,-3.2271457647339172,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.0467753164556962,1 vs 0,-3.2400351027516368,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.04425822784810127,1 vs 0,-3.2527880486817877,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.041741139240506334,1 vs 0,-3.265379394048933,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.03922405063291139,1 vs 0,-3.2777839303776344,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.03670696202531645,1 vs 0,-3.2899764491924546,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.03418987341772152,1 vs 0,-3.3019317420179566,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.031672784810126586,1 vs 0,-3.313624600378702,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.029155696202531653,1 vs 0,-3.3250298157992537,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.026638607594936706,1 vs 0,-3.3361221798041742,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.024121518987341772,1 vs 0,-3.346876483918025,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.02160443037974684,1 vs 0,-3.35726751966537,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.019087341772151892,1 vs 0,-3.367270078570771,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.01657025316455696,1 vs 0,-3.37685895215879,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.014053164556962025,1 vs 0,-3.3860093253190393,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.011536075949367092,1 vs 0,-3.394711675007444,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.009018987341772158,1 vs 0,-3.402976343114944,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.006501898734177211,1 vs 0,-3.410814999139523,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.003984810126582278,1 vs 0,-3.418239312579164,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,-0.0014677215189873444,1 vs 0,-3.425260952931851,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.0010493670886076029,1 vs 0,-3.431891589695568,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.0035664556962025362,1 vs 0,-3.4381428923682984,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.00608354430379747,1 vs 0,-3.4440265304480255,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.008600632911392403,1 vs 0,-3.449554173432734,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.011117721518987336,1 vs 0,-3.4547374908204054,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.013634810126582284,1 vs 0,-3.459588152109026,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.016151898734177217,1 vs 0,-3.4641178267965764,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
2,SPXT_LAG_0,0.02,0.01866898734177215,1 vs 0,-3.4683381843810426,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
