DATE,MODEL_ID,REALIZED_RETURN,SIMULATION_MEAN,SIMULATION_STD,VAR_90,ES_90,VAR_95,ES_95,VAR_975,ES_975,VAR_99,ES_99
2017-01-03,fixed_hmm_transition,0.0053435999999999996,0.0008215620428138937,0.006598050611751723,-0.006771138049080038,-0.011195838918641676,-0.00934840162785258,-0.014488905086990272,-0.01189830345252994,-0.01857058230818366,-0.017384040969656765,-0.025447035398287698
2017-01-03,group_weighted_multinomial_logistic_gam,0.0053435999999999996,0.0009306200676908556,0.006307744439955515,-0.006496105119818821,-0.010370593013728502,-0.008907886654022147,-0.013183157774807767,-0.011010462513833773,-0.01648998488264857,-0.015074681713839523,-0.022526541842933515
2017-01-03,normal,0.0053435999999999996,0.0007157654227447367,0.008915840235626487,-0.01060383512318837,-0.014792124264936736,-0.013914787992994808,-0.017489748463952206,-0.016627976856130593,-0.01994405701999144,-0.01993485583156407,-0.022773660573448942
2017-01-04,fixed_hmm_transition,0.007920000000000002,0.00040218484821928727,0.006124920303038296,-0.006724787747953087,-0.010597893857456658,-0.009058747604431119,-0.013439485578883323,-0.011326372535229893,-0.01683854840080021,-0.014990991931897556,-0.022626467956675337
2017-01-04,group_weighted_multinomial_logistic_gam,0.007920000000000002,0.0004997770582948215,0.0060698475120131885,-0.006425110369746107,-0.009845458165520831,-0.008485002632005486,-0.012306823081597976,-0.010381228230980925,-0.015204772963408032,-0.013607411063602191,-0.02046514585300174
2017-01-04,normal,0.007920000000000002,0.0007179244311375502,0.008920423732455763,-0.01050346374499048,-0.014696983046976959,-0.01366589469130658,-0.01745343874492081,-0.01671629794488366,-0.019846960360969362,-0.019600798553253345,-0.0225897263045892
2017-01-05,fixed_hmm_transition,-0.0025512,0.00026662051139881074,0.00659039940602769,-0.00732723432336934,-0.011579105881361464,-0.009922808578819964,-0.014669642310432973,-0.012324067148423632,-0.018433535507604248,-0.016763240926666177,-0.024868388257001058
2017-01-05,group_weighted_multinomial_logistic_gam,-0.0025512,0.0003333082918934743,0.006301833129647866,-0.00705903752881568,-0.010768210090618084,-0.0094290938754566,-0.013409240426276522,-0.011301667107298272,-0.016493297216098875,-0.014410080614278556,-0.022328203426412067
2017-01-05,normal,-0.0025512,0.0006213843874654814,0.008905422126373842,-0.010786913794239475,-0.014927766222036691,-0.013928380816155984,-0.017661324814877952,-0.01659115796530491,-0.02017138266910596,-0.02017487652004866,-0.023386122537921394
2017-01-06,fixed_hmm_transition,0.004815800000000001,-0.00010960796084803586,0.008509555517196789,-0.010379386270069518,-0.015566750065104351,-0.013520256557880188,-0.019320525006545502,-0.01700590079111862,-0.023498558760053127,-0.02300152016687207,-0.0299196810541558
2017-01-06,group_weighted_multinomial_logistic_gam,0.004815800000000001,4.4356426104524874e-05,0.008143463664608079,-0.009954987989563962,-0.01454832114171426,-0.012938500294461846,-0.017751321154488835,-0.01602812853484647,-0.02119974480966223,-0.02025718249861383,-0.026521865689248077
2017-01-06,normal,0.004815800000000001,0.0007239217193344853,0.008750505139190703,-0.010439588522304458,-0.01456018983004391,-0.013559841360954346,-0.017213289401780536,-0.016329279344614187,-0.01954766727017389,-0.019428242671272,-0.022238569902883473
2017-01-09,fixed_hmm_transition,-0.0062558,-2.583685350704034e-05,0.00808902182963906,-0.010000279617030174,-0.014618138758933603,-0.012847566317504968,-0.01798397372068364,-0.016048538092407395,-0.021763014143592444,-0.019708353645016902,-0.027549648811895165
2017-01-09,group_weighted_multinomial_logistic_gam,-0.0062558,6.98593644898756e-05,0.007934047449991348,-0.009786557114915922,-0.013876443696353345,-0.012470389917260037,-0.01678396905509893,-0.015229748548183122,-0.019944062704595273,-0.018691593432216904,-0.02468961272164015
2017-01-09,normal,-0.0062558,0.0007540485895240206,0.008779500410458243,-0.010481361097847159,-0.014633505836787674,-0.013724036110366015,-0.01728547269294875,-0.016376528360879564,-0.019522611323156372,-0.019361138832868382,-0.022178306081898535
2017-01-10,fixed_hmm_transition,-0.0014973999999999999,-0.00020924210966035756,0.006529302989315468,-0.008077081939554774,-0.011848748578753584,-0.010346574285766108,-0.014585057768396218,-0.012842968584576737,-0.017667310924071353,-0.016191135071893212,-0.022947110530763166
2017-01-10,group_weighted_multinomial_logistic_gam,-0.0014973999999999999,-0.00017326815549392632,0.006390168495735691,-0.007923960984277076,-0.011341699751660054,-0.010080621988687198,-0.013761627103459613,-0.012298735489130188,-0.016430673534933597,-0.014943156940129118,-0.020950422955281104
2017-01-10,normal,-0.0014973999999999999,0.0005940623238008131,0.008931326380248574,-0.010930726817938108,-0.014985295202973339,-0.01414589271818293,-0.017613671953000547,-0.016657980118174792,-0.019979304711062355,-0.01985631440271158,-0.02281912819364281
2017-01-11,fixed_hmm_transition,0.0051336,-0.0005460558109400299,0.006321704388597667,-0.00788004427193664,-0.011715978680036715,-0.010035323396383319,-0.014581461924104517,-0.0123752322520304,-0.018025737282836345,-0.016073109395650678,-0.024335653742527944
2017-01-11,group_weighted_multinomial_logistic_gam,0.0051336,-0.0004976350899603603,0.006059507359931333,-0.007751128159696236,-0.010899868543706618,-0.009714179101254558,-0.013139700872787654,-0.011747118910629068,-0.015564683521270056,-0.014376032675575695,-0.019576595910897596
2017-01-11,normal,0.0051336,0.0007853066261351513,0.008878512062686032,-0.010767672906009678,-0.014967104468859772,-0.013866353281480705,-0.017731870945682567,-0.01674378454883304,-0.02024874354002197,-0.02014468624925059,-0.023378311923276832
2017-01-12,fixed_hmm_transition,-0.0025226000000000003,-0.0005756645467109337,0.007288530099291589,-0.009426869237911889,-0.013574556424808544,-0.01232777457332122,-0.016475152712561537,-0.014741085472080154,-0.019581485764923273,-0.018133988805825348,-0.02472760805354337
2017-01-12,group_weighted_multinomial_logistic_gam,-0.0025226000000000003,-0.0006036378965709737,0.006965503182792795,-0.009263332236674617,-0.012859181444632994,-0.011878993406251528,-0.015299217088606966,-0.014092603449782474,-0.017646579411854615,-0.016712165864708365,-0.02133182747206302
2017-01-12,normal,-0.0025226000000000003,0.0009019603157583024,0.008784170098087431,-0.010339315675011005,-0.014560869611536308,-0.013652344624904588,-0.017305538249227204,-0.016379065499002643,-0.0198093745648001,-0.019477711615387916,-0.02274886657203185
2017-01-13,fixed_hmm_transition,0.0012442000000000004,-0.0004764595037801046,0.007268259316292205,-0.009435713505488821,-0.013261279453759564,-0.01213170329641434,-0.015866549087434397,-0.014355145284585884,-0.018610289561918764,-0.01781720118621597,-0.022824767333590717
2017-01-13,group_weighted_multinomial_logistic_gam,0.0012442000000000004,-0.0005256363916036135,0.007016495989533292,-0.009240796703379602,-0.012715350756970513,-0.01181590289849555,-0.015016486687108263,-0.013807748599923796,-0.017308773453614847,-0.01643268247663509,-0.02087734082621755
2017-01-13,normal,0.0012442000000000004,0.0007618293712179659,0.008999814774284243,-0.011084245321409867,-0.015073595886300962,-0.014184168645260616,-0.017648652456485926,-0.01669599620041916,-0.019991463910974134,-0.019896274402746567,-0.022835856195337012
2017-01-17,fixed_hmm_transition,-0.0029961999999999996,-0.0003535023796682799,0.006014384285498959,-0.0070577715542749515,-0.010993992804300651,-0.009348314670642137,-0.013916927613572626,-0.011345727282765436,-0.01761878655778011,-0.01541736353096784,-0.024742696656839692
2017-01-17,group_weighted_multinomial_logistic_gam,-0.0029961999999999996,-0.000349866795004411,0.005533345336909656,-0.006850170968566092,-0.010112943871361494,-0.008952274792187381,-0.012419455508843531,-0.010680232429876922,-0.01507540413188166,-0.01340007427856326,-0.020052854210643272
2017-01-17,normal,-0.0029961999999999996,0.000857066585423063,0.00873783980920832,-0.0103619962379497,-0.014463028351818601,-0.013646028625578685,-0.01700808049476705,-0.01602313480832884,-0.01924124639063067,-0.019296396284784724,-0.021723394543413845
2017-01-18,fixed_hmm_transition,0.0027646,-0.0005069774449584147,0.005091850356657015,-0.005560894717928022,-0.009875053774121042,-0.007428035589633504,-0.013336814926545777,-0.00987746939156203,-0.018248389569146675,-0.018769447333435524,-0.02582273295954074
2017-01-18,group_weighted_multinomial_logistic_gam,0.0027646,-0.00037429643915641645,0.0048130651565112545,-0.005307070460519756,-0.00856498305479581,-0.006891764251864514,-0.011121869508728852,-0.008418993541126836,-0.014688707595049637,-0.01097335426196223,-0.022540407881210554
2017-01-18,normal,0.0027646,0.0008730729127329845,0.008594161305784866,-0.010186676489804569,-0.014165118672226236,-0.013207649391419642,-0.016707787410391937,-0.015834743681790445,-0.019005469266051393,-0.018905507328004754,-0.021567770335202536
2017-01-19,fixed_hmm_transition,-0.0061336,-0.00030807639410093543,0.0049848610629761895,-0.0055413090876827486,-0.009420767951018207,-0.007477875337412113,-0.012462466998075251,-0.009665680876394618,-0.016515889227959563,-0.015196635685118956,-0.023733480942889587
2017-01-19,group_weighted_multinomial_logistic_gam,-0.0061336,-0.0001724044647460323,0.004675618341665776,-0.005281264644319891,-0.008359301051061922,-0.006934938837366643,-0.010720711220374508,-0.008542954796095728,-0.013814097545895493,-0.01117438507415062,-0.02019076837747416
