MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,SPLIT,SPLIT_START,SPLIT_END,N_STATES,STATE_LAG,EXOG_LAG,TRAIN_ROWS,EVAL_ROWS,REFERENCE_STATE,SIGNIFICANCE_LEVEL,VIF_THRESHOLD,SELECTED_TERM_COUNT,SELECTED_FEATURE_COUNT,SELECTED_TERMS,SELECTED_FEATURES,TERM_P_VALUES,TERM_VIFS,FEATURE_VIFS,MAX_SELECTED_P_VALUE,MAX_SELECTED_VIF,ALL_TERMS_SIGNIFICANT,ALL_FEATURES_WITHIN_VIF_THRESHOLD,REMOVED_TERMS,GLOBAL_DURATION_REMOVED_AS_REDUNDANT,STATE_LAG_DEFECT_CORRECTED,N_KNOTS,INFERENCE_METHOD,BOOTSTRAP_C,BOOTSTRAP_REPLICATES,TERM_BOOTSTRAP_IMPROVEMENTS,TERM_BOOTSTRAP_VALID_REPLICATES,REGULARIZATION_C,SMOOTHING_LAMBDA,SOURCE_MODEL,LOSS_FUNCTION,STATE_PENALTY_WEIGHT,MARKET_PENALTY_WEIGHT,DURATION_PENALTY_WEIGHT,MARKET_TO_STATE_PENALTY_RATIO,DURATION_TO_STATE_PENALTY_RATIO,DURATION_TO_MARKET_PENALTY_RATIO,DISPLAY_MODEL
fixed_hmm_transition,0.1911508899776782,0.952601156069364,0.0897902798663583,prediction,2017-01-03,2023-12-05,2,1,0,2318,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed HMM
dynamic_duration_logit,0.1927438932808896,0.952601156069364,0.0900280382772549,prediction,2017-01-03,2023-12-05,2,1,0,2318,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLR
pvalue_vif_selected_mlr,0.1917233054395252,0.952601156069364,0.0902338878191882,prediction,2017-01-03,2023-12-05,2,0,1,2317,1730,0.0,0.05,5.0,2.0,2.0,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.0158457653311648,1.165909496782339,True,True,LT11TRUU_LAG_0|JPEICORE_LAG_1|SPXT_LAG_0|DBLCIX_LAG_1|IBOXIG_LAG_0|SPXT_LAG_1|DBLCIX_LAG_0|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|IBOXIG_LAG_1|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,,,,,,,,,,,,,,,,,P/VIF MLR
multinomial_logistic_gam,0.1724011130864179,0.9520231213872832,0.0892645272439048,prediction,2017-01-03,2023-12-05,2,0,2,2316,1730,,0.05,,21.0,,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2|DURATION_STATE_0|DURATION_STATE_1,,"{""DBLCIX_LAG_0"": 0.02, ""DBLCIX_LAG_1"": 0.02, ""DBLCIX_LAG_2"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""IBOXIG_LAG_1"": 0.02, ""IBOXIG_LAG_2"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""JPEICORE_LAG_1"": 0.02, ""JPEICORE_LAG_2"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LBUTTRUU_LAG_1"": 0.02, ""LBUTTRUU_LAG_2"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_1"": 0.02, ""LT11TRUU_LAG_2"": 0.02, ""SPXT_LAG_0"": 0.02, ""SPXT_LAG_1"": 0.02, ""SPXT_LAG_2"": 0.02, ""STATE_LAG_0"": 0.02}",,,0.02,,True,,,,,6.0,regularized_bootstrap,1.0,49.0,"{""DBLCIX_LAG_0"": 46.79373313272629, ""DBLCIX_LAG_1"": 48.04544352943901, ""DBLCIX_LAG_2"": 47.177741400262335, ""DURATION_STATE_0"": 878.894128247989, ""DURATION_STATE_1"": 876.4635475533771, ""IBOXIG_LAG_0"": 53.58052025063671, ""IBOXIG_LAG_1"": 46.170513715367406, ""IBOXIG_LAG_2"": 40.250109352310346, ""JPEICORE_LAG_0"": 34.89737284809769, ""JPEICORE_LAG_1"": 31.869179040322024, ""JPEICORE_LAG_2"": 30.795923151905868, ""LBUTTRUU_LAG_0"": 52.64111208485099, ""LBUTTRUU_LAG_1"": 42.668848184626995, ""LBUTTRUU_LAG_2"": 36.56282547062028, ""LT11TRUU_LAG_0"": 104.42409072677731, ""LT11TRUU_LAG_1"": 92.53882057008923, ""LT11TRUU_LAG_2"": 80.29772451290592, ""SPXT_LAG_0"": 187.81338603369545, ""SPXT_LAG_1"": 175.79921677198627, ""SPXT_LAG_2"": 159.5414052723039, ""STATE_LAG_0"": 888.0851344943634}","{""DBLCIX_LAG_0"": 49, ""DBLCIX_LAG_1"": 49, ""DBLCIX_LAG_2"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""IBOXIG_LAG_0"": 49, ""IBOXIG_LAG_1"": 49, ""IBOXIG_LAG_2"": 49, ""JPEICORE_LAG_0"": 49, ""JPEICORE_LAG_1"": 49, ""JPEICORE_LAG_2"": 49, ""LBUTTRUU_LAG_0"": 49, ""LBUTTRUU_LAG_1"": 49, ""LBUTTRUU_LAG_2"": 49, ""LT11TRUU_LAG_0"": 49, ""LT11TRUU_LAG_1"": 49, ""LT11TRUU_LAG_2"": 49, ""SPXT_LAG_0"": 49, ""SPXT_LAG_1"": 49, ""SPXT_LAG_2"": 49, ""STATE_LAG_0"": 49}",0.01,100.0,,,,,,,,,MLG
group_weighted_multinomial_logistic_gam,0.16999867335807,0.9520231213872832,0.0872972325831846,prediction,2017-01-03,2023-12-05,2,0,2,2316,1730,,0.05,,21.0,,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2|DURATION_STATE_0|DURATION_STATE_1,,"{""DBLCIX_LAG_0"": 0.02, ""DBLCIX_LAG_1"": 0.02, ""DBLCIX_LAG_2"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""IBOXIG_LAG_1"": 0.02, ""IBOXIG_LAG_2"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""JPEICORE_LAG_1"": 0.02, ""JPEICORE_LAG_2"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LBUTTRUU_LAG_1"": 0.02, ""LBUTTRUU_LAG_2"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_1"": 0.02, ""LT11TRUU_LAG_2"": 0.02, ""SPXT_LAG_0"": 0.02, ""SPXT_LAG_1"": 0.02, ""SPXT_LAG_2"": 0.02, ""STATE_LAG_0"": 0.02}",,,0.02,,True,,,,,6.0,regularized_bootstrap,,,,,0.1,10.0,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,1.0,0.5,8.0,0.5,8.0,16.0,Weighted MLG
