N_STATES,MODEL,TERM,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,IMPORTANCE,TERM_P_VALUE,INFERENCE_METHOD,REGULARIZATION_C,COEFFICIENT_SCALE,NORMALIZED_IMPORTANCE
2,WEIGHTED_MLG,STATE_LAG_0,state,1.0,1.3613822126421624,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.24637838136517584
2,WEIGHTED_MLG,DURATION_STATE_0,duration,8.0,0.5414967952865193,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.09799827168168684
2,WEIGHTED_MLG,DURATION_STATE_1,duration,8.0,0.4829928862528141,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.08741043067905983
2,WEIGHTED_MLG,JPEICORE_LAG_0,market,0.5,0.34294049528860754,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.06206421925389718
2,WEIGHTED_MLG,DBLCIX_LAG_1,market,0.5,0.3384400362606154,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.06124974129141153
2,WEIGHTED_MLG,SPXT_LAG_1,market,0.5,0.24390357276029814,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.044140849577605654
2,WEIGHTED_MLG,LBUTTRUU_LAG_0,market,0.5,0.2223384058655617,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.040238058088150806
2,WEIGHTED_MLG,IBOXIG_LAG_1,market,0.5,0.21135223627774363,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.03824981800736065
2,WEIGHTED_MLG,LT11TRUU_LAG_1,market,0.5,0.20613598953526735,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.03730579918790037
2,WEIGHTED_MLG,LBUTTRUU_LAG_1,market,0.5,0.20049819394493287,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.03628548987350254
2,WEIGHTED_MLG,SPXT_LAG_2,market,0.5,0.1954022304024039,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.035363239503661506
2,WEIGHTED_MLG,DBLCIX_LAG_2,market,0.5,0.1744014909054434,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.031562596189326636
2,WEIGHTED_MLG,DBLCIX_LAG_0,market,0.5,0.16224370594495532,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.029362321092638363
2,WEIGHTED_MLG,IBOXIG_LAG_0,market,0.5,0.15587127149700072,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.028209059304682694
2,WEIGHTED_MLG,SPXT_LAG_0,market,0.5,0.15217799609389362,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.027540662724131425
2,WEIGHTED_MLG,IBOXIG_LAG_2,market,0.5,0.14069429992445479,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.025462381953278206
2,WEIGHTED_MLG,LT11TRUU_LAG_2,market,0.5,0.1406839505256068,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.02546050895382766
2,WEIGHTED_MLG,LT11TRUU_LAG_0,market,0.5,0.08728471602542917,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.015796494806941366
2,WEIGHTED_MLG,JPEICORE_LAG_1,market,0.5,0.06175779237926926,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.011176717884068904
2,WEIGHTED_MLG,JPEICORE_LAG_2,market,0.5,0.05795603395152775,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.010488688410001893
2,WEIGHTED_MLG,LBUTTRUU_LAG_2,market,0.5,0.045620639652825284,0.02,regularized_bootstrap,0.1,effective_original_penalized_basis_coefficients,0.00825627017169017
