N_STATES,FROM_STATE,TO_STATE,OBSERVED_PREDICTION,FIXED_HMM,MLR_AVERAGE,PVIF_MLR_AVERAGE,MLG_AVERAGE,WEIGHTED_MLG_AVERAGE,MLR_MINUS_FIXED,PVIF_MLR_MINUS_FIXED,MLG_MINUS_FIXED,WEIGHTED_MLG_MINUS_FIXED,MLG_MINUS_MLR,PVIF_MLR_MINUS_MLR,PVIF_MLR_MINUS_MLG,PVIF_MLR_MINUS_WEIGHTED_MLG,WEIGHTED_MLG_MINUS_MLR,WEIGHTED_MLG_MINUS_MLG
2,0,0,0.9690332326283988,0.98559,0.9861304559262554,0.9853889964373526,0.9645224767234126,0.9723922784781971,0.000540455926255401,-0.00020100356264740604,-0.02106752327658734,-0.013197721521802874,-0.021607979202842742,-0.000741459488902807,0.020866519713939935,0.012996717959155468,-0.013738177448058275,0.007869801754784467
2,0,1,0.030966767371601207,0.01441,0.013869544073744734,0.01461100356264792,0.03547752327658641,0.0276077215218026,-0.0005404559262552656,0.00020100356264792126,0.02106752327658641,0.0131977215218026,0.021607979202841677,0.0007414594889031869,-0.02086651971393849,-0.012996717959154679,0.013738177448057866,-0.007869801754783811
2,1,0,0.10098522167487685,0.059,0.054350243002843295,0.0457941644577125,0.14456566813144867,0.11467036429941557,-0.004649756997156702,-0.013205835542287499,0.08556566813144867,0.055670364299415576,0.09021542512860536,-0.008556078545130796,-0.09877150367373616,-0.06887619984170307,0.06032012129657228,-0.029895303832033093
2,1,1,0.8990147783251231,0.941,0.9456497569971561,0.9542058355422832,0.8554343318685501,0.8853296357005846,0.004649756997156196,0.013205835542283273,-0.08556566813144983,-0.0556703642994153,-0.09021542512860603,0.008556078545127077,0.09877150367373311,0.06887619984169857,-0.060320121296571494,0.029895303832034537
4,0,0,0.9304511278195489,0.94901,0.955669870668207,0.9627166588240295,0.9250291787636471,0.9253495411625476,0.006659870668206946,0.013706658824029438,-0.023980821236352923,-0.02366045883745238,-0.03064069190455987,0.007046788155822492,0.03768748006038236,0.03736711766148182,-0.030320329505659327,0.0003203623989005422
4,0,1,0.0,0.0,0.00021620775137324964,0.00032786977026839817,0.008834943262541898,0.008721798492403529,0.00021620775137324964,0.00032786977026839817,0.008834943262541898,0.008721798492403529,0.008618735511168648,0.00011166201889514852,-0.0085070734922735,-0.008393928722135131,0.00850559074103028,-0.0001131447701383688
4,0,2,0.06954887218045112,0.05099,0.04388367646255719,0.03652530626560161,0.06057901928447026,0.0606327497780109,-0.00710632353744281,-0.01446469373439839,0.009589019284470257,0.009642749778010898,0.016695342821913067,-0.00735837019695558,-0.024053713018868647,-0.024107443512409288,0.016749073315453708,5.3730493540640745e-05
4,0,3,0.0,0.0,0.00023024511786180413,0.00043016514010072994,0.0055568586893400915,0.005295910567037855,0.00023024511786180413,0.00043016514010072994,0.0055568586893400915,0.005295910567037855,0.0053266135714782874,0.0001999200222389258,-0.005126693549239361,-0.004865745426937125,0.005065665449176051,-0.0002609481223022365
4,1,0,0.013157894736842105,0.0,0.008021068374601597,0.002720433476922699,0.19694302428939095,0.19654374279375525,0.008021068374601597,0.002720433476922699,0.19694302428939095,0.19654374279375525,0.18892195591478936,-0.0053006348976788985,-0.19422259081246826,-0.19382330931683256,0.18852267441915366,-0.0003992814956357005
4,1,1,0.6842105263157895,0.93688,0.9215840683404934,0.9532481376514426,0.553710741492322,0.5542776233613929,-0.0152959316595066,0.016368137651442516,-0.383169258507678,-0.3826023766386072,-0.3678733268481714,0.03166406931094912,0.39953739615912054,0.3989705142900497,-0.3673064449791006,0.0005668818690708344
4,1,2,0.25,0.03148,0.04765923744799295,0.02271417050933472,0.19569826077439348,0.19459742451198814,0.016179237447992947,-0.008765829490665282,0.16421826077439347,0.16311742451198813,0.14803902332640054,-0.02494506693865823,-0.17298409026505876,-0.17188325400265342,0.1469381870639952,-0.0011008362624053414
4,1,3,0.05263157894736842,0.03164,0.022735625836911643,0.021317258362300015,0.05364797344389329,0.05458120933286383,-0.008904374163088358,-0.010322741637699986,0.02200797344389329,0.02294120933286383,0.03091234760698165,-0.001418367474611628,-0.03233071508159328,-0.03326395097056382,0.03184558349595219,0.0009332358889705406
4,2,0,0.12788632326820604,0.07792,0.08098976499020653,0.08152187264356321,0.1218387994051702,0.12186856939971207,0.0030697649902065305,0.0036018726435632087,0.0439187994051702,0.04394856939971206,0.04084903441496367,0.0005321076533566782,-0.04031692676160699,-0.04034669675614885,0.04087880440950553,2.9769994541864464e-05
4,2,1,0.035523978685612786,0.00339,0.0020594065820417292,0.0013681095884501581,0.021792959780863267,0.021800015734651325,-0.0013305934179582706,-0.0020218904115498417,0.018402959780863266,0.018410015734651324,0.019733553198821537,-0.0006912969935915711,-0.020424850192413108,-0.020431906146201165,0.019740609152609594,7.055953788057817e-06
4,2,2,0.8330373001776199,0.91292,0.9109205110083253,0.9117556975853797,0.8403077647200556,0.8405500693830307,-0.0019994889916746805,-0.0011643024146202885,-0.07261223527994431,-0.07236993061696928,-0.07061274628826963,0.000835186577054392,0.07144793286532403,0.07120562820234899,-0.0703704416252946,0.00024230466297503472
4,2,3,0.003552397868561279,0.00577,0.00603031741942598,0.005354320182606841,0.016060476093910963,0.015781345482606377,0.0002603174194259804,-0.00041567981739315876,0.010290476093910962,0.010011345482606376,0.010030158674484983,-0.0006759972368191392,-0.010706155911304121,-0.010427025299999535,0.009751028063180397,-0.0002791306113045858
4,3,0,0.0,0.0,0.0026016901705092133,0.004440645474295062,0.17920254135737237,0.17530041408388192,0.0026016901705092133,0.004440645474295062,0.17920254135737237,0.17530041408388192,0.17660085118686317,0.0018389553037858482,-0.1747618958830773,-0.17085976860958685,0.1726987239133727,-0.0039021272734904577
