N_STATES,MODEL,FEATURE,TERM,IMPORTANCE,TERM_P_VALUE,FEATURE_VIF,SIGNIFICANT_AT_5_PERCENT,WITHIN_VIF_THRESHOLD,COEFFICIENT_SCALE,NORMALIZED_IMPORTANCE
2,PVIF_MLR,STATE_LAG_0_1,STATE_LAG_0,2.6479720581574946,1.044541032967638e-77,1.1659094967823387,True,True,standardized_input_coefficients,0.7193196772094015
2,PVIF_MLR,DURATION_STATE_0,DURATION_STATE_0,1.033245267121711,0.015845765331164878,1.1659094967823376,True,True,standardized_input_coefficients,0.28068032279059846
