N_STATES,FROM_STATE,TO_STATE,OBSERVED_PREDICTION,FIXED_HMM,DYNAMIC_AVERAGE,DYNAMIC_MINUS_FIXED
1,0,0,1.0,1.0,,
2,0,0,0.9690332326283988,0.98559,0.9861304559262554,0.000540455926255401
2,0,1,0.030966767371601207,0.01441,0.013869544073744734,-0.0005404559262552656
2,1,0,0.10098522167487685,0.059,0.054350243002843295,-0.004649756997156702
2,1,1,0.8990147783251231,0.941,0.9456497569971561,0.004649756997156196
4,0,0,0.9304511278195489,0.94901,0.955669870668207,0.006659870668206946
4,0,1,0.0,0.0,0.00021620775137324964,0.00021620775137324964
4,0,2,0.06954887218045112,0.05099,0.04388367646255719,-0.00710632353744281
4,0,3,0.0,0.0,0.00023024511786180413,0.00023024511786180413
4,1,0,0.013157894736842105,0.0,0.008021068374601597,0.008021068374601597
4,1,1,0.6842105263157895,0.93688,0.9215840683404934,-0.0152959316595066
4,1,2,0.25,0.03148,0.04765923744799295,0.016179237447992947
4,1,3,0.05263157894736842,0.03164,0.022735625836911643,-0.008904374163088358
4,2,0,0.12788632326820604,0.07792,0.08098976499020653,0.0030697649902065305
4,2,1,0.035523978685612786,0.00339,0.0020594065820417292,-0.0013305934179582706
4,2,2,0.8330373001776199,0.91292,0.9109205110083253,-0.0019994889916746805
4,2,3,0.003552397868561279,0.00577,0.00603031741942598,0.0002603174194259804
4,3,0,0.0,0.0,0.0026016901705092133,0.0026016901705092133
4,3,1,0.14814814814814814,0.15385,0.30887264490581684,0.15502264490581685
4,3,2,0.07407407407407407,0.06482,0.054192560648347224,-0.010627439351652779
4,3,3,0.7777777777777778,0.78133,0.6343331042753265,-0.14699689572467345
