N_STATES,MODEL,FEATURE,IMPORTANCE,STATE_LAG,EXOG_LAG,COEFFICIENT_SCALE,NORMALIZED_IMPORTANCE
4,MLR,STATE_LAG_0_1,1.9132561402456585,0,0,standardized_input_coefficients,0.2094570132959194
4,MLR,STATE_LAG_0_0,1.408071656243684,0,0,standardized_input_coefficients,0.1541510712651219
4,MLR,STATE_LAG_0_3,0.9415762220154693,0,0,standardized_input_coefficients,0.10308067963576119
4,MLR,STATE_LAG_0_2,0.8870216227187301,0,0,standardized_input_coefficients,0.09710822085730224
4,MLR,DURATION_STATE_2,0.6514702665826674,0,0,standardized_input_coefficients,0.07132083019055742
4,MLR,LT11TRUU_LAG_0,0.504461133078322,0,0,standardized_input_coefficients,0.0552267519417937
4,MLR,DURATION_STATE_1,0.4916992394512974,0,0,standardized_input_coefficients,0.05382962164288162
4,MLR,LBUTTRUU_LAG_0,0.4421733976532499,0,0,standardized_input_coefficients,0.048407694758249596
4,MLR,DURATION_STATE_0,0.4251175268168972,0,0,standardized_input_coefficients,0.04654047390402319
4,MLR,DURATION_STATE_3,0.42001647770528694,0,0,standardized_input_coefficients,0.04598202776128325
4,MLR,DBLCIX_LAG_0,0.3652980126257816,0,0,standardized_input_coefficients,0.03999162949384654
4,MLR,SPXT_LAG_0,0.2545437704275787,0,0,standardized_input_coefficients,0.02786661795320157
4,MLR,DURATION,0.18899774538452918,0,0,standardized_input_coefficients,0.02069085389833022
4,MLR,IBOXIG_LAG_0,0.13079927147670606,0,0,standardized_input_coefficients,0.014319475666899097
4,MLR,JPEICORE_LAG_0,0.10985931400930546,0,0,standardized_input_coefficients,0.012027037734828924
