N_STATES,REGIME,ORIGINAL_STATE,REGIME_ORDERING,FEATURE,N_OBSERVATIONS,JARQUE_BERA_STATISTIC,JARQUE_BERA_P_VALUE,RELIABLE_FOR_5_PERCENT_DECISION,NORMAL_AT_5_PERCENT,BONFERRONI_ALPHA_WITHIN_REGIME,NORMAL_AFTER_BONFERRONI_AT_5_PERCENT,NULL_HYPOTHESIS
4,0,2,ascending training-sample SPXT mean,IBOXIG,633,2.3445256662749436,0.3096654266705866,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,0,2,ascending training-sample SPXT mean,JPEICORE,633,51.38955177883004,6.932671429019274e-12,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,0,2,ascending training-sample SPXT mean,LT11TRUU,633,13.945751507556993,0.0009369545771656862,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,0,2,ascending training-sample SPXT mean,LBUTTRUU,633,43.01684419727702,4.5604843331764936e-10,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,1,3,ascending training-sample SPXT mean,SPXT,258,8.699619019077703,0.012909271439347425,True,False,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,1,3,ascending training-sample SPXT mean,DBLCIX,258,9.888812170086311,0.007123143949753844,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,1,3,ascending training-sample SPXT mean,IBOXIG,258,58.98371333929407,1.5554261184911933e-13,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,1,3,ascending training-sample SPXT mean,JPEICORE,258,600.2853146819035,4.463752773514839e-131,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,1,3,ascending training-sample SPXT mean,LT11TRUU,258,1.7250537649357913,0.422094151307176,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,1,3,ascending training-sample SPXT mean,LBUTTRUU,258,104.43511875937732,2.0999168719798736e-23,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,2,1,ascending training-sample SPXT mean,SPXT,660,3.9223427338976813,0.14069352062054813,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,2,1,ascending training-sample SPXT mean,DBLCIX,660,21.448385186146417,2.2006062088769844e-05,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,2,1,ascending training-sample SPXT mean,IBOXIG,660,50.54147926567638,1.05939330457928e-11,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,2,1,ascending training-sample SPXT mean,JPEICORE,660,123.01870748250774,1.9356511269329508e-27,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,2,1,ascending training-sample SPXT mean,LT11TRUU,660,11.006882380402374,0.004072732250248085,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,2,1,ascending training-sample SPXT mean,LBUTTRUU,660,3.19951871427913,0.2019451087965378,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,3,0,ascending training-sample SPXT mean,SPXT,767,3.61438909921181,0.16411390499216427,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,3,0,ascending training-sample SPXT mean,DBLCIX,767,0.046059009007750194,0.9772336505538947,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,3,0,ascending training-sample SPXT mean,IBOXIG,767,23.856360763040144,6.60171970492344e-06,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,3,0,ascending training-sample SPXT mean,JPEICORE,767,36.49739022605962,1.1876607675017501e-08,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
4,3,0,ascending training-sample SPXT mean,LT11TRUU,767,1.393384196897831,0.4982306789572618,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
4,3,0,ascending training-sample SPXT mean,LBUTTRUU,767,0.9764011466069541,0.6137297628909397,True,True,0.008333333333333333,True,regime-conditional feature values are normally distributed
