ITERATION,REMOVED_TERM,REMOVAL_REASON,P_VALUE_AT_REMOVAL,TERM_MAX_VIF_AT_REMOVAL,N_STATES,STATE_LAG,EXOG_LAG
1,IBOXIG_LAG_0,p_value,0.9072254422578533,2.4983161910492644,4,0,0
2,JPEICORE_LAG_0,p_value,0.8066181616012263,1.3921794455295036,4,0,0
3,DURATION_STATE_1,p_value,0.7973243992277622,2.4652654890726016,4,0,0
4,DURATION_STATE_3,p_value,0.3252439983280515,2.4029932234382896,4,0,0
5,LBUTTRUU_LAG_0,p_value,0.3354062025633102,2.4014546538603545,4,0,0
6,SPXT_LAG_0,p_value,0.35743752031255244,1.0982961463176923,4,0,0
7,DURATION_STATE_0,p_value,0.055510372132928996,1.461392008324111,4,0,0
1,LT11TRUU_LAG_1,p_value,0.9916294120403467,3.6511529059716037,4,0,1
2,LBUTTRUU_LAG_1,p_value,0.9872440882747986,1.733896883893823,4,0,1
3,IBOXIG_LAG_0,p_value,0.9663731384911644,2.573796948754838,4,0,1
4,DURATION_STATE_1,p_value,0.7722898856198709,2.4955951277652573,4,0,1
5,IBOXIG_LAG_1,p_value,0.7294325771420604,1.1838514676784297,4,0,1
6,JPEICORE_LAG_0,p_value,0.6712247102212971,1.4707379219803263,4,0,1
7,JPEICORE_LAG_1,p_value,0.45016458297297524,1.2215406604135741,4,0,1
8,LBUTTRUU_LAG_0,p_value,0.32765806096784267,2.430652506783387,4,0,1
9,DURATION_STATE_3,p_value,0.342479709233152,2.4229083421139817,4,0,1
10,DBLCIX_LAG_0,p_value,0.27860538636833476,1.057452393655721,4,0,1
11,SPXT_LAG_1,p_value,0.07987412564257407,1.0383382166717892,4,0,1
12,SPXT_LAG_0,p_value,0.10240408364217467,1.0920450980368286,4,0,1
13,LT11TRUU_LAG_0,p_value,0.14489361861145283,1.0048305078239181,4,0,1
14,DURATION_STATE_0,p_value,0.05040545482521637,1.459787714887619,4,0,1
1,IBOXIG_LAG_0,p_value,0.9310597833325456,2.622481433589544,4,0,2
2,LBUTTRUU_LAG_2,p_value,0.8547289183791235,2.591629324056273,4,0,2
3,LT11TRUU_LAG_1,p_value,0.8091602291771749,3.7797427457336275,4,0,2
4,JPEICORE_LAG_1,p_value,0.7215479022990559,1.4926720335786536,4,0,2
5,JPEICORE_LAG_2,p_value,0.6477087744290988,1.3657392436415405,4,0,2
6,JPEICORE_LAG_0,p_value,0.6498538845249786,1.471934154116783,4,0,2
7,SPXT_LAG_2,p_value,0.5908871810198737,1.1774754468469826,4,0,2
8,LBUTTRUU_LAG_1,p_value,0.6579933240248945,1.7258011228113563,4,0,2
9,LT11TRUU_LAG_2,p_value,0.6066749165473815,2.2852200647947853,4,0,2
10,LBUTTRUU_LAG_0,p_value,0.6971063146648917,2.4608939299672725,4,0,2
11,DURATION_STATE_1,p_value,0.6008694209151186,2.4968469038400816,4,0,2
12,IBOXIG_LAG_1,p_value,0.4065912547547911,1.0515093503810617,4,0,2
13,DURATION_STATE_3,p_value,0.16061729646619072,2.4255215732143616,4,0,2
14,DBLCIX_LAG_0,p_value,0.22162369552582356,1.0577817997037748,4,0,2
15,DBLCIX_LAG_2,p_value,0.2864687609853358,1.0250960416496984,4,0,2
16,IBOXIG_LAG_2,p_value,0.10792266481142603,1.007631691605372,4,0,2
17,SPXT_LAG_1,p_value,0.08081904788500237,1.038447796953864,4,0,2
