ITERATION,REMOVED_TERM,REMOVAL_REASON,P_VALUE_AT_REMOVAL,TERM_MAX_VIF_AT_REMOVAL,N_STATES,STATE_LAG,EXOG_LAG
1,IBOXIG_LAG_0,p_value,0.8491745549739329,2.420510225208199,2,0,0
2,LT11TRUU_LAG_0,p_value,0.4742282046224975,2.4233093900836185,2,0,0
3,SPXT_LAG_0,p_value,0.5339819456587112,1.2091702245375386,2,0,0
4,DBLCIX_LAG_0,p_value,0.4086428624282734,1.0440414330555812,2,0,0
5,LBUTTRUU_LAG_0,p_value,0.0546283565268415,1.0552277160855668,2,0,0
6,JPEICORE_LAG_0,p_value,0.10112989637178232,1.0079249782191322,2,0,0
7,DURATION_STATE_1,p_value,0.062178627555918436,2.024691917075363,2,0,0
1,LT11TRUU_LAG_0,p_value,0.8210722966480235,3.703224369613123,2,0,1
2,JPEICORE_LAG_1,p_value,0.8171320565370714,1.3698399159934225,2,0,1
3,SPXT_LAG_0,p_value,0.7493188524551138,1.2648383674171166,2,0,1
4,DBLCIX_LAG_1,p_value,0.6407720693479682,1.1088398538884119,2,0,1
5,IBOXIG_LAG_0,p_value,0.5374886884147123,1.741141469025714,2,0,1
6,SPXT_LAG_1,p_value,0.5435717943099534,1.1564669984939198,2,0,1
7,DBLCIX_LAG_0,p_value,0.28298885044139344,1.0460264805683028,2,0,1
8,LBUTTRUU_LAG_1,p_value,0.2614318129052603,2.287770687048485,2,0,1
9,LT11TRUU_LAG_1,p_value,0.17564150126719658,2.159559720190756,2,0,1
10,IBOXIG_LAG_1,p_value,0.10556873561570457,1.0188858775633534,2,0,1
11,LBUTTRUU_LAG_0,p_value,0.054328572405695594,1.0552031381273868,2,0,1
12,JPEICORE_LAG_0,p_value,0.10075573550784929,1.0079841470171582,2,0,1
13,DURATION_STATE_1,p_value,0.06071504322444396,2.030586724350123,2,0,1
1,SPXT_LAG_0,p_value,0.9995319548824824,1.3210122674416498,2,0,2
2,JPEICORE_LAG_2,p_value,0.9811778849506182,1.3993953819987317,2,0,2
3,LT11TRUU_LAG_0,p_value,0.9702237825789004,3.6127513761252286,2,0,2
4,LBUTTRUU_LAG_2,p_value,0.8701302415390809,2.485876066413218,2,0,2
5,IBOXIG_LAG_2,p_value,0.7938961099555697,2.327621189468693,2,0,2
6,DBLCIX_LAG_2,p_value,0.7052933245229642,1.053544283749632,2,0,2
7,DBLCIX_LAG_1,p_value,0.6134545631030912,1.1320214308663505,2,0,2
8,JPEICORE_LAG_1,p_value,0.5738526226795118,1.4174221650620147,2,0,2
9,IBOXIG_LAG_0,p_value,0.5570924769501626,1.7476312102489928,2,0,2
10,LT11TRUU_LAG_2,p_value,0.5015968349658156,1.0973312113986784,2,0,2
11,LBUTTRUU_LAG_1,p_value,0.38871615623489064,2.316969808277564,2,0,2
12,LT11TRUU_LAG_1,p_value,0.543598405536306,2.3704577597911904,2,0,2
13,DBLCIX_LAG_0,p_value,0.3138434684559747,1.0524331618081124,2,0,2
14,SPXT_LAG_1,p_value,0.3028121211956797,1.077549011891116,2,0,2
15,SPXT_LAG_2,p_value,0.16353666423678412,1.013406612090131,2,0,2
16,IBOXIG_LAG_1,p_value,0.09851962587802776,1.018935664285034,2,0,2
17,DURATION_STATE_1,p_value,0.06203077730301065,2.0493149303664304,2,0,2
18,JPEICORE_LAG_0,p_value,0.05588723233474099,1.0548926060600596,2,0,2
19,LBUTTRUU_LAG_0,p_value,0.08681898221534814,1.001615050617817,2,0,2
1,STATE_LAG_1,vif,1.0,10.191485585335919,2,1,0
2,IBOXIG_LAG_0,p_value,0.8618000122213678,2.4237996009824863,2,1,0
3,LT11TRUU_LAG_0,p_value,0.4632520050271832,2.424373028522528,2,1,0
4,SPXT_LAG_0,p_value,0.5279901803488385,1.2092838362743743,2,1,0
5,DBLCIX_LAG_0,p_value,0.4091296763331951,1.0440336371080043,2,1,0
6,LBUTTRUU_LAG_0,p_value,0.054328572405695594,1.0552031381273868,2,1,0
7,JPEICORE_LAG_0,p_value,0.10075573550784929,1.0079841470171582,2,1,0
8,DURATION_STATE_1,p_value,0.06071504322444396,2.030586724350123,2,1,0
1,STATE_LAG_1,vif,0.9215810757975806,10.269923759458685,2,1,1
2,LT11TRUU_LAG_0,p_value,0.8210722966480235,3.703224369613123,2,1,1
3,JPEICORE_LAG_1,p_value,0.8171320565370714,1.3698399159934225,2,1,1
