MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,SPLIT,SPLIT_START,SPLIT_END,N_STATES,STATE_LAG,EXOG_LAG,TRAIN_ROWS,EVAL_ROWS
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,0,0,2318,1890
dynamic_duration_logit,0.1939211162442986,0.9507936507936507,0.09242953555211778,validation,2009-06-02,2016-12-30,2,0,0,2318,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,0,0,2318,1730
dynamic_duration_logit,0.1927438932808897,0.9526011560693641,0.09002803827725499,prediction,2017-01-03,2023-12-05,2,0,0,2318,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,0,1,2317,1890
dynamic_duration_logit,0.19896778047206715,0.9502645502645503,0.0930264064334523,validation,2009-06-02,2016-12-30,2,0,1,2317,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,0,1,2317,1730
dynamic_duration_logit,0.19784594675941253,0.9520231213872833,0.09210249664023493,prediction,2017-01-03,2023-12-05,2,0,1,2317,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,0,2,2316,1890
dynamic_duration_logit,0.1979496848601061,0.9507936507936507,0.09231661230905272,validation,2009-06-02,2016-12-30,2,0,2,2316,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,0,2,2316,1730
dynamic_duration_logit,0.19888393793799955,0.9514450867052023,0.09209233312864737,prediction,2017-01-03,2023-12-05,2,0,2,2316,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,1,0,2318,1890
dynamic_duration_logit,0.19392111624429853,0.9507936507936507,0.09242953555211775,validation,2009-06-02,2016-12-30,2,1,0,2318,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,1,0,2318,1730
dynamic_duration_logit,0.1927438932808896,0.9526011560693641,0.09002803827725496,prediction,2017-01-03,2023-12-05,2,1,0,2318,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,1,1,2317,1890
dynamic_duration_logit,0.19896778047207012,0.9502645502645503,0.09302640643345265,validation,2009-06-02,2016-12-30,2,1,1,2317,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,1,1,2317,1730
dynamic_duration_logit,0.19784594675941503,0.9520231213872833,0.09210249664023501,prediction,2017-01-03,2023-12-05,2,1,1,2317,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,1,2,2316,1890
dynamic_duration_logit,0.19794968486010597,0.9507936507936507,0.09231661230905272,validation,2009-06-02,2016-12-30,2,1,2,2316,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,1,2,2316,1730
dynamic_duration_logit,0.19888393793799952,0.9514450867052023,0.0920923331286474,prediction,2017-01-03,2023-12-05,2,1,2,2316,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,2,0,2318,1890
dynamic_duration_logit,0.19392111624429853,0.9507936507936507,0.09242953555211776,validation,2009-06-02,2016-12-30,2,2,0,2318,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,2,0,2318,1730
dynamic_duration_logit,0.19274389328088967,0.9526011560693641,0.09002803827725496,prediction,2017-01-03,2023-12-05,2,2,0,2318,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,2,1,2317,1890
dynamic_duration_logit,0.19896778047207256,0.9502645502645503,0.09302640643345293,validation,2009-06-02,2016-12-30,2,2,1,2317,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,2,1,2317,1730
dynamic_duration_logit,0.19784594675941716,0.9520231213872833,0.09210249664023508,prediction,2017-01-03,2023-12-05,2,2,1,2317,1730
fixed_hmm_transition,0.19364434633379746,0.9507936507936507,0.09260588416370369,validation,2009-06-02,2016-12-30,2,2,2,2316,1890
dynamic_duration_logit,0.19794968486010595,0.9507936507936507,0.0923166123090527,validation,2009-06-02,2016-12-30,2,2,2,2316,1890
fixed_hmm_transition,0.1911508899776782,0.9526011560693641,0.08979027986635837,prediction,2017-01-03,2023-12-05,2,2,2,2316,1730
dynamic_duration_logit,0.19888393793799947,0.9514450867052023,0.0920923331286474,prediction,2017-01-03,2023-12-05,2,2,2,2316,1730
