N_STATES,SEED,LL,AIC,BIC,MIN_COUNT,CONVERGED,VALID
2,12085,15242.51,-30459.03,-30384.3,304,True,True
2,12180,15245.13,-30464.26,-30389.53,337,True,True
2,12189,15243.72,-30461.44,-30386.71,315,True,True
2,12198,15244.0,-30462.01,-30387.28,319,True,True
2,12336,15243.8,-30461.6,-30386.87,319,True,True
2,12366,15244.66,-30463.31,-30388.58,334,True,True
2,12423,15245.28,-30464.57,-30389.84,337,True,True
2,12587,15243.52,-30461.04,-30386.31,312,True,True
2,12648,15243.56,-30461.11,-30386.38,315,True,True
2,12947,15242.56,-30459.12,-30384.39,304,True,True
2,13374,15243.89,-30461.79,-30387.06,319,True,True
2,13695,15242.96,-30459.92,-30385.19,311,True,True
2,13783,15242.5,-30458.99,-30384.26,304,True,True
2,13802,15242.5,-30458.99,-30384.26,304,True,True
2,13956,15242.5,-30458.99,-30384.26,304,True,True
2,14043,15244.49,-30462.97,-30388.24,334,True,True
2,14072,15242.5,-30458.99,-30384.26,304,True,True
2,14098,15242.5,-30458.99,-30384.26,304,True,True
2,14259,15242.92,-30459.84,-30385.11,311,True,True
2,14334,15240.58,-30455.17,-30380.44,317,True,True
2,14374,15242.78,-30459.56,-30384.83,305,True,True
2,14439,15242.5,-30458.99,-30384.26,304,True,True
2,14458,15244.08,-30462.15,-30387.42,319,True,True
2,14551,15242.79,-30459.57,-30384.84,311,True,True
2,14918,15243.42,-30460.85,-30386.12,312,True,True
2,15316,15244.22,-30462.44,-30387.71,334,True,True
2,15342,15242.5,-30458.99,-30384.26,304,True,True
2,15364,15243.46,-30460.92,-30386.19,312,True,True
2,15389,15243.01,-30460.01,-30385.28,311,True,True
2,15543,15243.52,-30461.04,-30386.31,312,True,True
2,15605,15242.98,-30459.97,-30385.24,311,True,True
2,15697,15242.5,-30458.99,-30384.26,304,True,True
2,15726,15242.5,-30458.99,-30384.26,304,True,True
2,15870,15243.48,-30460.95,-30386.22,312,True,True
2,15910,15244.18,-30462.36,-30387.63,319,True,True
2,15954,15242.5,-30459.0,-30384.27,304,True,True
2,15963,15244.57,-30463.13,-30388.4,334,True,True
2,16037,15242.62,-30459.23,-30384.5,304,True,True
2,16043,15244.71,-30463.42,-30388.69,334,True,True
2,16134,15242.94,-30459.88,-30385.15,311,True,True
2,16194,15242.59,-30459.18,-30384.45,304,True,True
2,16227,15244.07,-30462.14,-30387.41,319,True,True
2,16400,15244.21,-30462.42,-30387.69,319,True,True
2,16440,15242.5,-30458.99,-30384.26,304,True,True
2,16442,15242.5,-30458.99,-30384.26,304,True,True
2,16739,15243.93,-30461.87,-30387.14,319,True,True
2,16769,15243.75,-30461.49,-30386.76,319,True,True
2,16783,15244.88,-30463.76,-30389.03,337,True,True
2,16818,15243.85,-30461.71,-30386.98,319,True,True
2,17191,15244.48,-30462.97,-30388.24,334,True,True
2,17201,15243.07,-30460.13,-30385.4,311,True,True
2,17516,15242.5,-30458.99,-30384.26,304,True,True
2,17666,15243.77,-30461.54,-30386.81,319,True,True
2,17701,15244.44,-30462.88,-30388.15,334,True,True
2,17751,15242.5,-30458.99,-30384.26,304,True,True
2,17789,15244.23,-30462.46,-30387.73,319,True,True
2,17841,15244.86,-30463.71,-30388.98,337,True,True
2,17854,15244.16,-30462.31,-30387.58,319,True,True
2,18008,15243.15,-30460.3,-30385.57,311,True,True
2,18206,15242.5,-30458.99,-30384.26,304,True,True
2,18324,15242.86,-30459.72,-30384.99,311,True,True
2,18511,15243.28,-30460.57,-30385.84,311,True,True
2,18751,15242.56,-30459.12,-30384.39,304,True,True
2,18832,15243.27,-30460.53,-30385.8,311,True,True
2,18874,15244.25,-30462.5,-30387.77,319,True,True
2,19156,15242.5,-30458.99,-30384.26,304,True,True
2,19333,15244.27,-30462.53,-30387.8,319,True,True
2,19373,15243.91,-30461.82,-30387.09,319,True,True
2,19399,15243.98,-30461.95,-30387.22,319,True,True
2,19610,15243.29,-30460.58,-30385.85,311,True,True
2,19902,15242.5,-30458.99,-30384.26,304,True,True
2,19935,15243.97,-30461.93,-30387.2,319,True,True
2,20096,15242.5,-30458.99,-30384.26,304,True,True
2,20174,15243.9,-30461.8,-30387.07,319,True,True
2,20236,15242.5,-30458.99,-30384.26,304,True,True
2,20260,15243.87,-30461.74,-30387.01,319,True,True
2,20333,15242.79,-30459.58,-30384.85,311,True,True
2,20379,15242.99,-30459.97,-30385.24,311,True,True
2,20387,15243.83,-30461.66,-30386.93,319,True,True
2,20413,15244.13,-30462.25,-30387.52,319,True,True
2,20416,15242.5,-30458.99,-30384.26,304,True,True
2,20623,15244.5,-30463.0,-30388.27,334,True,True
2,20739,15242.5,-30458.99,-30384.26,304,True,True
2,20755,15243.65,-30461.31,-30386.58,312,True,True
2,20866,15243.09,-30460.18,-30385.45,311,True,True
2,20940,15242.5,-30458.99,-30384.26,304,True,True
2,20947,15242.5,-30458.99,-30384.26,304,True,True
2,21024,15241.28,-30456.55,-30381.82,315,True,True
2,21402,15242.5,-30458.99,-30384.26,304,True,True
2,21588,15242.5,-30458.99,-30384.26,304,True,True
2,21644,15243.61,-30461.22,-30386.49,315,True,True
2,21701,15244.1,-30462.2,-30387.47,319,True,True
2,21744,15242.55,-30459.09,-30384.36,304,True,True
2,21781,15243.63,-30461.26,-30386.53,312,True,True
2,21901,15242.5,-30458.99,-30384.26,304,True,True
2,22095,15242.86,-30459.72,-30384.99,311,True,True
