MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,N_STATES,STATE_LAG,EXOG_LAG,N_KNOTS,SIGNIFICANCE_LEVEL,MODEL_SPECIFICATION,DURATION_EXCLUDED,BASE_MODEL,BASE_REGULARIZATION_C,SELECTED_BASE_TERM_COUNT,SELECTED_BASE_TERMS,CANDIDATE_INTERACTION_COUNT,SELECTED_INTERACTION_COUNT,SELECTED_INTERACTIONS,SELECTED_TERM_COUNT,SELECTED_TERMS,INTERACTION_P_VALUES,INTERACTION_FDR_P_VALUES,INTERACTION_METHODS,INTERACTION_BOOTSTRAP_IMPROVEMENTS,INTERACTION_BOOTSTRAP_VALID_REPLICATES,INTERACTION_STATE_MAP,FDR_METHOD,ALL_INTERACTIONS_SIGNIFICANT,LOSS_FUNCTION,TRAIN_ROWS,MIN_ORIGIN_OBSERVATIONS,MIN_ORIGIN_EXITS,MIN_UNIQUE_VALUES,SPLIT,SPLIT_START,SPLIT_END,REGULARIZATION_C,SMOOTHING_LAMBDA,EVAL_ROWS
state_interaction_multinomial_logistic_gam,0.609840849736841,0.7735449735449735,0.33378531220643537,4,0,2,6,0.05,current_state_and_macro_only_no_duration_v2,True,duration_free_multinomial_logistic_gam,0.01,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,18,0,,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,"{""STATE_X_DBLCIX_LAG_0"": 0.75, ""STATE_X_DBLCIX_LAG_1"": 0.23076923076923078, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.23076923076923078, ""STATE_X_IBOXIG_LAG_1"": 0.75, ""STATE_X_IBOXIG_LAG_2"": 0.5, ""STATE_X_JPEICORE_LAG_0"": 0.2727272727272727, ""STATE_X_JPEICORE_LAG_1"": 0.08333333333333333, ""STATE_X_JPEICORE_LAG_2"": 0.6, ""STATE_X_LBUTTRUU_LAG_0"": 0.375, ""STATE_X_LBUTTRUU_LAG_1"": 0.16666666666666666, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.75, ""STATE_X_LT11TRUU_LAG_1"": 0.375, ""STATE_X_LT11TRUU_LAG_2"": 0.6, ""STATE_X_SPXT_LAG_0"": 0.375, ""STATE_X_SPXT_LAG_1"": 0.75, ""STATE_X_SPXT_LAG_2"": 0.07142857142857142}","{""STATE_X_DBLCIX_LAG_0"": 0.84375, ""STATE_X_DBLCIX_LAG_1"": 0.75, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.75, ""STATE_X_IBOXIG_LAG_1"": 0.84375, ""STATE_X_IBOXIG_LAG_2"": 0.84375, ""STATE_X_JPEICORE_LAG_0"": 0.75, ""STATE_X_JPEICORE_LAG_1"": 0.75, ""STATE_X_JPEICORE_LAG_2"": 0.84375, ""STATE_X_LBUTTRUU_LAG_0"": 0.75, ""STATE_X_LBUTTRUU_LAG_1"": 0.75, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.84375, ""STATE_X_LT11TRUU_LAG_1"": 0.75, ""STATE_X_LT11TRUU_LAG_2"": 0.84375, ""STATE_X_SPXT_LAG_0"": 0.75, ""STATE_X_SPXT_LAG_1"": 0.84375, ""STATE_X_SPXT_LAG_2"": 0.75}","{""STATE_X_DBLCIX_LAG_0"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_1"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_2"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_0"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_1"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_2"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_0"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_1"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_0"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_1"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_2"": ""regularized_bootstrap""}","{""STATE_X_DBLCIX_LAG_0"": 2.854302458546101, ""STATE_X_DBLCIX_LAG_1"": 2.597142725468416, ""STATE_X_DBLCIX_LAG_2"": 2.3266727634690483, ""STATE_X_IBOXIG_LAG_0"": 3.4150640951042988, ""STATE_X_IBOXIG_LAG_1"": 2.193785740278372, ""STATE_X_IBOXIG_LAG_2"": 2.4888302872038253, ""STATE_X_JPEICORE_LAG_0"": 2.8465176442950906, ""STATE_X_JPEICORE_LAG_1"": 3.382510372737954, ""STATE_X_JPEICORE_LAG_2"": 2.920177565165204, ""STATE_X_LBUTTRUU_LAG_0"": 3.240383404872887, ""STATE_X_LBUTTRUU_LAG_1"": 3.021269549661554, ""STATE_X_LBUTTRUU_LAG_2"": 1.9175750930107256, ""STATE_X_LT11TRUU_LAG_0"": 2.6116816187850986, ""STATE_X_LT11TRUU_LAG_1"": 2.317726485822618, ""STATE_X_LT11TRUU_LAG_2"": 1.7290950804531917, ""STATE_X_SPXT_LAG_0"": 2.411961995670822, ""STATE_X_SPXT_LAG_1"": 2.056254628057502, ""STATE_X_SPXT_LAG_2"": 5.001929187137534}","{""STATE_X_DBLCIX_LAG_0"": 3, ""STATE_X_DBLCIX_LAG_1"": 12, ""STATE_X_DBLCIX_LAG_2"": 2, ""STATE_X_IBOXIG_LAG_0"": 12, ""STATE_X_IBOXIG_LAG_1"": 3, ""STATE_X_IBOXIG_LAG_2"": 5, ""STATE_X_JPEICORE_LAG_0"": 10, ""STATE_X_JPEICORE_LAG_1"": 35, ""STATE_X_JPEICORE_LAG_2"": 4, ""STATE_X_LBUTTRUU_LAG_0"": 7, ""STATE_X_LBUTTRUU_LAG_1"": 17, ""STATE_X_LBUTTRUU_LAG_2"": 2, ""STATE_X_LT11TRUU_LAG_0"": 3, ""STATE_X_LT11TRUU_LAG_1"": 7, ""STATE_X_LT11TRUU_LAG_2"": 4, ""STATE_X_SPXT_LAG_0"": 7, ""STATE_X_SPXT_LAG_1"": 3, ""STATE_X_SPXT_LAG_2"": 41}",{},Benjamini-Hochberg,True,unweighted multinomial negative log likelihood plus standard L2/P-spline penalty,2316,50,10,20,validation,2009-06-02,2016-12-30,0.01,100.0,1890
state_interaction_multinomial_logistic_gam,0.4592397424415097,0.8676300578034682,0.22088734667078558,4,0,2,6,0.05,current_state_and_macro_only_no_duration_v2,True,duration_free_multinomial_logistic_gam,0.01,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,18,0,,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,"{""STATE_X_DBLCIX_LAG_0"": 0.75, ""STATE_X_DBLCIX_LAG_1"": 0.23076923076923078, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.23076923076923078, ""STATE_X_IBOXIG_LAG_1"": 0.75, ""STATE_X_IBOXIG_LAG_2"": 0.5, ""STATE_X_JPEICORE_LAG_0"": 0.2727272727272727, ""STATE_X_JPEICORE_LAG_1"": 0.08333333333333333, ""STATE_X_JPEICORE_LAG_2"": 0.6, ""STATE_X_LBUTTRUU_LAG_0"": 0.375, ""STATE_X_LBUTTRUU_LAG_1"": 0.16666666666666666, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.75, ""STATE_X_LT11TRUU_LAG_1"": 0.375, ""STATE_X_LT11TRUU_LAG_2"": 0.6, ""STATE_X_SPXT_LAG_0"": 0.375, ""STATE_X_SPXT_LAG_1"": 0.75, ""STATE_X_SPXT_LAG_2"": 0.07142857142857142}","{""STATE_X_DBLCIX_LAG_0"": 0.84375, ""STATE_X_DBLCIX_LAG_1"": 0.75, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.75, ""STATE_X_IBOXIG_LAG_1"": 0.84375, ""STATE_X_IBOXIG_LAG_2"": 0.84375, ""STATE_X_JPEICORE_LAG_0"": 0.75, ""STATE_X_JPEICORE_LAG_1"": 0.75, ""STATE_X_JPEICORE_LAG_2"": 0.84375, ""STATE_X_LBUTTRUU_LAG_0"": 0.75, ""STATE_X_LBUTTRUU_LAG_1"": 0.75, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.84375, ""STATE_X_LT11TRUU_LAG_1"": 0.75, ""STATE_X_LT11TRUU_LAG_2"": 0.84375, ""STATE_X_SPXT_LAG_0"": 0.75, ""STATE_X_SPXT_LAG_1"": 0.84375, ""STATE_X_SPXT_LAG_2"": 0.75}","{""STATE_X_DBLCIX_LAG_0"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_1"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_2"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_0"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_1"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_2"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_0"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_1"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_0"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_1"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_2"": ""regularized_bootstrap""}","{""STATE_X_DBLCIX_LAG_0"": 2.854302458546101, ""STATE_X_DBLCIX_LAG_1"": 2.597142725468416, ""STATE_X_DBLCIX_LAG_2"": 2.3266727634690483, ""STATE_X_IBOXIG_LAG_0"": 3.4150640951042988, ""STATE_X_IBOXIG_LAG_1"": 2.193785740278372, ""STATE_X_IBOXIG_LAG_2"": 2.4888302872038253, ""STATE_X_JPEICORE_LAG_0"": 2.8465176442950906, ""STATE_X_JPEICORE_LAG_1"": 3.382510372737954, ""STATE_X_JPEICORE_LAG_2"": 2.920177565165204, ""STATE_X_LBUTTRUU_LAG_0"": 3.240383404872887, ""STATE_X_LBUTTRUU_LAG_1"": 3.021269549661554, ""STATE_X_LBUTTRUU_LAG_2"": 1.9175750930107256, ""STATE_X_LT11TRUU_LAG_0"": 2.6116816187850986, ""STATE_X_LT11TRUU_LAG_1"": 2.317726485822618, ""STATE_X_LT11TRUU_LAG_2"": 1.7290950804531917, ""STATE_X_SPXT_LAG_0"": 2.411961995670822, ""STATE_X_SPXT_LAG_1"": 2.056254628057502, ""STATE_X_SPXT_LAG_2"": 5.001929187137534}","{""STATE_X_DBLCIX_LAG_0"": 3, ""STATE_X_DBLCIX_LAG_1"": 12, ""STATE_X_DBLCIX_LAG_2"": 2, ""STATE_X_IBOXIG_LAG_0"": 12, ""STATE_X_IBOXIG_LAG_1"": 3, ""STATE_X_IBOXIG_LAG_2"": 5, ""STATE_X_JPEICORE_LAG_0"": 10, ""STATE_X_JPEICORE_LAG_1"": 35, ""STATE_X_JPEICORE_LAG_2"": 4, ""STATE_X_LBUTTRUU_LAG_0"": 7, ""STATE_X_LBUTTRUU_LAG_1"": 17, ""STATE_X_LBUTTRUU_LAG_2"": 2, ""STATE_X_LT11TRUU_LAG_0"": 3, ""STATE_X_LT11TRUU_LAG_1"": 7, ""STATE_X_LT11TRUU_LAG_2"": 4, ""STATE_X_SPXT_LAG_0"": 7, ""STATE_X_SPXT_LAG_1"": 3, ""STATE_X_SPXT_LAG_2"": 41}",{},Benjamini-Hochberg,True,unweighted multinomial negative log likelihood plus standard L2/P-spline penalty,2316,50,10,20,prediction,2017-01-03,2023-12-05,0.01,100.0,1730
state_interaction_multinomial_logistic_gam,0.6203782972474647,0.817989417989418,0.32346802454384593,4,0,2,6,0.05,current_state_and_macro_only_no_duration_v2,True,duration_free_multinomial_logistic_gam,0.01,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,18,0,,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,"{""STATE_X_DBLCIX_LAG_0"": 0.75, ""STATE_X_DBLCIX_LAG_1"": 0.23076923076923078, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.23076923076923078, ""STATE_X_IBOXIG_LAG_1"": 0.75, ""STATE_X_IBOXIG_LAG_2"": 0.5, ""STATE_X_JPEICORE_LAG_0"": 0.2727272727272727, ""STATE_X_JPEICORE_LAG_1"": 0.08333333333333333, ""STATE_X_JPEICORE_LAG_2"": 0.6, ""STATE_X_LBUTTRUU_LAG_0"": 0.375, ""STATE_X_LBUTTRUU_LAG_1"": 0.16666666666666666, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.75, ""STATE_X_LT11TRUU_LAG_1"": 0.375, ""STATE_X_LT11TRUU_LAG_2"": 0.6, ""STATE_X_SPXT_LAG_0"": 0.375, ""STATE_X_SPXT_LAG_1"": 0.75, ""STATE_X_SPXT_LAG_2"": 0.07142857142857142}","{""STATE_X_DBLCIX_LAG_0"": 0.84375, ""STATE_X_DBLCIX_LAG_1"": 0.75, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.75, ""STATE_X_IBOXIG_LAG_1"": 0.84375, ""STATE_X_IBOXIG_LAG_2"": 0.84375, ""STATE_X_JPEICORE_LAG_0"": 0.75, ""STATE_X_JPEICORE_LAG_1"": 0.75, ""STATE_X_JPEICORE_LAG_2"": 0.84375, ""STATE_X_LBUTTRUU_LAG_0"": 0.75, ""STATE_X_LBUTTRUU_LAG_1"": 0.75, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.84375, ""STATE_X_LT11TRUU_LAG_1"": 0.75, ""STATE_X_LT11TRUU_LAG_2"": 0.84375, ""STATE_X_SPXT_LAG_0"": 0.75, ""STATE_X_SPXT_LAG_1"": 0.84375, ""STATE_X_SPXT_LAG_2"": 0.75}","{""STATE_X_DBLCIX_LAG_0"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_1"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_2"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_0"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_1"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_2"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_0"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_1"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_0"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_1"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_2"": ""regularized_bootstrap""}","{""STATE_X_DBLCIX_LAG_0"": 2.854302458546101, ""STATE_X_DBLCIX_LAG_1"": 2.597142725468416, ""STATE_X_DBLCIX_LAG_2"": 2.3266727634690483, ""STATE_X_IBOXIG_LAG_0"": 3.4150640951042988, ""STATE_X_IBOXIG_LAG_1"": 2.193785740278372, ""STATE_X_IBOXIG_LAG_2"": 2.4888302872038253, ""STATE_X_JPEICORE_LAG_0"": 2.8465176442950906, ""STATE_X_JPEICORE_LAG_1"": 3.382510372737954, ""STATE_X_JPEICORE_LAG_2"": 2.920177565165204, ""STATE_X_LBUTTRUU_LAG_0"": 3.240383404872887, ""STATE_X_LBUTTRUU_LAG_1"": 3.021269549661554, ""STATE_X_LBUTTRUU_LAG_2"": 1.9175750930107256, ""STATE_X_LT11TRUU_LAG_0"": 2.6116816187850986, ""STATE_X_LT11TRUU_LAG_1"": 2.317726485822618, ""STATE_X_LT11TRUU_LAG_2"": 1.7290950804531917, ""STATE_X_SPXT_LAG_0"": 2.411961995670822, ""STATE_X_SPXT_LAG_1"": 2.056254628057502, ""STATE_X_SPXT_LAG_2"": 5.001929187137534}","{""STATE_X_DBLCIX_LAG_0"": 3, ""STATE_X_DBLCIX_LAG_1"": 12, ""STATE_X_DBLCIX_LAG_2"": 2, ""STATE_X_IBOXIG_LAG_0"": 12, ""STATE_X_IBOXIG_LAG_1"": 3, ""STATE_X_IBOXIG_LAG_2"": 5, ""STATE_X_JPEICORE_LAG_0"": 10, ""STATE_X_JPEICORE_LAG_1"": 35, ""STATE_X_JPEICORE_LAG_2"": 4, ""STATE_X_LBUTTRUU_LAG_0"": 7, ""STATE_X_LBUTTRUU_LAG_1"": 17, ""STATE_X_LBUTTRUU_LAG_2"": 2, ""STATE_X_LT11TRUU_LAG_0"": 3, ""STATE_X_LT11TRUU_LAG_1"": 7, ""STATE_X_LT11TRUU_LAG_2"": 4, ""STATE_X_SPXT_LAG_0"": 7, ""STATE_X_SPXT_LAG_1"": 3, ""STATE_X_SPXT_LAG_2"": 41}",{},Benjamini-Hochberg,True,unweighted multinomial negative log likelihood plus standard L2/P-spline penalty,2316,50,10,20,validation,2009-06-02,2016-12-30,0.1,10.0,1890
state_interaction_multinomial_logistic_gam,0.4363994295706627,0.8763005780346821,0.21420353447784424,4,0,2,6,0.05,current_state_and_macro_only_no_duration_v2,True,duration_free_multinomial_logistic_gam,0.01,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,18,0,,19,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|SPXT_LAG_1|DBLCIX_LAG_1|IBOXIG_LAG_1|JPEICORE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|SPXT_LAG_2|DBLCIX_LAG_2|IBOXIG_LAG_2|JPEICORE_LAG_2|LT11TRUU_LAG_2|LBUTTRUU_LAG_2,"{""STATE_X_DBLCIX_LAG_0"": 0.75, ""STATE_X_DBLCIX_LAG_1"": 0.23076923076923078, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.23076923076923078, ""STATE_X_IBOXIG_LAG_1"": 0.75, ""STATE_X_IBOXIG_LAG_2"": 0.5, ""STATE_X_JPEICORE_LAG_0"": 0.2727272727272727, ""STATE_X_JPEICORE_LAG_1"": 0.08333333333333333, ""STATE_X_JPEICORE_LAG_2"": 0.6, ""STATE_X_LBUTTRUU_LAG_0"": 0.375, ""STATE_X_LBUTTRUU_LAG_1"": 0.16666666666666666, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.75, ""STATE_X_LT11TRUU_LAG_1"": 0.375, ""STATE_X_LT11TRUU_LAG_2"": 0.6, ""STATE_X_SPXT_LAG_0"": 0.375, ""STATE_X_SPXT_LAG_1"": 0.75, ""STATE_X_SPXT_LAG_2"": 0.07142857142857142}","{""STATE_X_DBLCIX_LAG_0"": 0.84375, ""STATE_X_DBLCIX_LAG_1"": 0.75, ""STATE_X_DBLCIX_LAG_2"": 1.0, ""STATE_X_IBOXIG_LAG_0"": 0.75, ""STATE_X_IBOXIG_LAG_1"": 0.84375, ""STATE_X_IBOXIG_LAG_2"": 0.84375, ""STATE_X_JPEICORE_LAG_0"": 0.75, ""STATE_X_JPEICORE_LAG_1"": 0.75, ""STATE_X_JPEICORE_LAG_2"": 0.84375, ""STATE_X_LBUTTRUU_LAG_0"": 0.75, ""STATE_X_LBUTTRUU_LAG_1"": 0.75, ""STATE_X_LBUTTRUU_LAG_2"": 1.0, ""STATE_X_LT11TRUU_LAG_0"": 0.84375, ""STATE_X_LT11TRUU_LAG_1"": 0.75, ""STATE_X_LT11TRUU_LAG_2"": 0.84375, ""STATE_X_SPXT_LAG_0"": 0.75, ""STATE_X_SPXT_LAG_1"": 0.84375, ""STATE_X_SPXT_LAG_2"": 0.75}","{""STATE_X_DBLCIX_LAG_0"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_1"": ""regularized_bootstrap"", ""STATE_X_DBLCIX_LAG_2"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_0"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_1"": ""regularized_bootstrap"", ""STATE_X_IBOXIG_LAG_2"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_0"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_1"": ""regularized_bootstrap"", ""STATE_X_JPEICORE_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LBUTTRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_0"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_1"": ""regularized_bootstrap"", ""STATE_X_LT11TRUU_LAG_2"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_0"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_1"": ""regularized_bootstrap"", ""STATE_X_SPXT_LAG_2"": ""regularized_bootstrap""}","{""STATE_X_DBLCIX_LAG_0"": 2.854302458546101, ""STATE_X_DBLCIX_LAG_1"": 2.597142725468416, ""STATE_X_DBLCIX_LAG_2"": 2.3266727634690483, ""STATE_X_IBOXIG_LAG_0"": 3.4150640951042988, ""STATE_X_IBOXIG_LAG_1"": 2.193785740278372, ""STATE_X_IBOXIG_LAG_2"": 2.4888302872038253, ""STATE_X_JPEICORE_LAG_0"": 2.8465176442950906, ""STATE_X_JPEICORE_LAG_1"": 3.382510372737954, ""STATE_X_JPEICORE_LAG_2"": 2.920177565165204, ""STATE_X_LBUTTRUU_LAG_0"": 3.240383404872887, ""STATE_X_LBUTTRUU_LAG_1"": 3.021269549661554, ""STATE_X_LBUTTRUU_LAG_2"": 1.9175750930107256, ""STATE_X_LT11TRUU_LAG_0"": 2.6116816187850986, ""STATE_X_LT11TRUU_LAG_1"": 2.317726485822618, ""STATE_X_LT11TRUU_LAG_2"": 1.7290950804531917, ""STATE_X_SPXT_LAG_0"": 2.411961995670822, ""STATE_X_SPXT_LAG_1"": 2.056254628057502, ""STATE_X_SPXT_LAG_2"": 5.001929187137534}","{""STATE_X_DBLCIX_LAG_0"": 3, ""STATE_X_DBLCIX_LAG_1"": 12, ""STATE_X_DBLCIX_LAG_2"": 2, ""STATE_X_IBOXIG_LAG_0"": 12, ""STATE_X_IBOXIG_LAG_1"": 3, ""STATE_X_IBOXIG_LAG_2"": 5, ""STATE_X_JPEICORE_LAG_0"": 10, ""STATE_X_JPEICORE_LAG_1"": 35, ""STATE_X_JPEICORE_LAG_2"": 4, ""STATE_X_LBUTTRUU_LAG_0"": 7, ""STATE_X_LBUTTRUU_LAG_1"": 17, ""STATE_X_LBUTTRUU_LAG_2"": 2, ""STATE_X_LT11TRUU_LAG_0"": 3, ""STATE_X_LT11TRUU_LAG_1"": 7, ""STATE_X_LT11TRUU_LAG_2"": 4, ""STATE_X_SPXT_LAG_0"": 7, ""STATE_X_SPXT_LAG_1"": 3, ""STATE_X_SPXT_LAG_2"": 41}",{},Benjamini-Hochberg,True,unweighted multinomial negative log likelihood plus standard L2/P-spline penalty,2316,50,10,20,prediction,2017-01-03,2023-12-05,0.1,10.0,1730
