LOWER_N_STATES,HIGHER_N_STATES,OBSERVED_LR_STATISTIC,BOOTSTRAP_REPLICATES_REQUESTED,BOOTSTRAP_REPLICATES_VALID,BOOTSTRAP_REPLICATES_FAILED,BOOTSTRAP_95_PERCENT_CRITICAL_VALUE,BOOTSTRAP_P_VALUE,MINIMUM_VALID_REPLICATES_FOR_DECISION,RELIABLE_FOR_5_PERCENT_DECISION,REJECT_LOWER_MODEL_AT_5_PERCENT,SUPPORTED_MODEL,NULL_HYPOTHESIS,INTERPRETATION
2,3,1251.542365641184,100,100,0,89.18619263045474,0.009900990099009901,80,True,True,3,q2 generates the data; q3 does not add a required regime,evidence favors q3
3,4,693.3771092169336,100,100,0,98.75521092028465,0.039603960396039604,80,True,True,4,q3 generates the data; q4 does not add a required regime,evidence favors q4
