MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,N_STATES,STATE_LAG,EXOG_LAG,N_KNOTS,SIGNIFICANCE_LEVEL,SELECTED_TERM_COUNT,SELECTED_TERMS,MAX_SELECTED_P_VALUE,ALL_TERMS_SIGNIFICANT,TERM_P_VALUES,INFERENCE_METHOD,BOOTSTRAP_C,BOOTSTRAP_REPLICATES,TERM_BOOTSTRAP_IMPROVEMENTS,TERM_BOOTSTRAP_VALID_REPLICATES,TRAIN_ROWS,SPLIT,SPLIT_START,SPLIT_END,REGULARIZATION_C,SMOOTHING_LAMBDA,EVAL_ROWS
multinomial_logistic_gam,0.5671371097105438,0.8084656084656084,0.31118537296271226,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,validation,2009-06-02,2016-12-30,0.01,100.0,1890
multinomial_logistic_gam,0.41009167000931634,0.8763005780346821,0.20600031495841628,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,prediction,2017-01-03,2023-12-05,0.01,100.0,1730
multinomial_logistic_gam,0.567088582689714,0.8174603174603174,0.31107236773003,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,validation,2009-06-02,2016-12-30,0.1,10.0,1890
multinomial_logistic_gam,0.4065552294259461,0.8820809248554913,0.20438837278732602,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,prediction,2017-01-03,2023-12-05,0.1,10.0,1730
multinomial_logistic_gam,0.5978639316611529,0.8201058201058201,0.3180853568899122,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,validation,2009-06-02,2016-12-30,1.0,1.0,1890
multinomial_logistic_gam,0.4288621826656342,0.8820809248554913,0.21025614020012778,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,prediction,2017-01-03,2023-12-05,1.0,1.0,1730
multinomial_logistic_gam,0.6536690725315004,0.8185185185185185,0.3242676438731245,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,validation,2009-06-02,2016-12-30,10.0,0.1,1890
multinomial_logistic_gam,0.464916435521953,0.8820809248554913,0.21474797144746835,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 74.70288644923858, ""DURATION_STATE_0"": 1163.7321186567917, ""DURATION_STATE_1"": 446.90347146584327, ""DURATION_STATE_2"": 1062.4815885878938, ""DURATION_STATE_3"": 139.98343147815808, ""IBOXIG_LAG_0"": 41.86223325116316, ""JPEICORE_LAG_0"": 58.51353250848888, ""LBUTTRUU_LAG_0"": 40.13517820776633, ""LT11TRUU_LAG_0"": 93.13523852264188, ""SPXT_LAG_0"": 126.8013297535158, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,prediction,2017-01-03,2023-12-05,10.0,0.1,1730
multinomial_logistic_gam,0.5670534554876949,0.81005291005291,0.3109336035575302,4,0,0,6,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 88.03167201825363, ""DURATION_STATE_0"": 1190.9086782738264, ""DURATION_STATE_1"": 454.14686056024266, ""DURATION_STATE_2"": 1081.1256693598361, ""DURATION_STATE_3"": 142.53901097433845, ""IBOXIG_LAG_0"": 70.86241459061057, ""JPEICORE_LAG_0"": 114.08364148949886, ""LBUTTRUU_LAG_0"": 72.16690569428465, ""LT11TRUU_LAG_0"": 126.6472243910116, ""SPXT_LAG_0"": 240.61684604629227, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,validation,2009-06-02,2016-12-30,0.01,100.0,1890
multinomial_logistic_gam,0.40752329860495656,0.8774566473988439,0.20497864659237544,4,0,0,6,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,1.0,49,"{""DBLCIX_LAG_0"": 88.03167201825363, ""DURATION_STATE_0"": 1190.9086782738264, ""DURATION_STATE_1"": 454.14686056024266, ""DURATION_STATE_2"": 1081.1256693598361, ""DURATION_STATE_3"": 142.53901097433845, ""IBOXIG_LAG_0"": 70.86241459061057, ""JPEICORE_LAG_0"": 114.08364148949886, ""LBUTTRUU_LAG_0"": 72.16690569428465, ""LT11TRUU_LAG_0"": 126.6472243910116, ""SPXT_LAG_0"": 240.61684604629227, ""STATE_LAG_0"": 1648.7127126251366}","{""DBLCIX_LAG_0"": 49, ""DURATION_STATE_0"": 49, ""DURATION_STATE_1"": 49, ""DURATION_STATE_2"": 49, ""DURATION_STATE_3"": 49, ""IBOXIG_LAG_0"": 49, ""JPEICORE_LAG_0"": 49, ""LBUTTRUU_LAG_0"": 49, ""LT11TRUU_LAG_0"": 49, ""SPXT_LAG_0"": 49, ""STATE_LAG_0"": 49}",2318,prediction,2017-01-03,2023-12-05,0.01,100.0,1730
