N_STATES,SPLIT,FEATURE,N_OBSERVATIONS,PIT_KS_STATISTIC,PIT_KS_P_VALUE,PIT_UNIFORM_AT_5_PERCENT,LJUNG_BOX_LAG,LJUNG_BOX_STATISTIC,LJUNG_BOX_P_VALUE,PIT_INDEPENDENT_AT_5_PERCENT,LJUNG_BOX_LAG_20,LJUNG_BOX_LAG_20_STATISTIC,LJUNG_BOX_LAG_20_P_VALUE,PIT_INDEPENDENT_THROUGH_LAG_20_AT_5_PERCENT,SQUARED_PIT_LJUNG_BOX_LAG_10_STATISTIC,SQUARED_PIT_LJUNG_BOX_LAG_10_P_VALUE,SQUARED_PIT_LJUNG_BOX_LAG_20_STATISTIC,SQUARED_PIT_LJUNG_BOX_LAG_20_P_VALUE,ARCH_LM_LAG,ARCH_LM_STATISTIC,ARCH_LM_P_VALUE,NO_VOLATILITY_CLUSTERING_AT_5_PERCENT,PASS_BOTH_AT_5_PERCENT,PASS_ALL_RESIDUAL_TESTS_AT_5_PERCENT,KS_NULL_HYPOTHESIS,LJUNG_BOX_NULL_HYPOTHESIS,VOLATILITY_NULL_HYPOTHESIS
2,prediction,LT11TRUU,1731,0.06999160976839094,8.09329082132939e-08,False,10,11.489016556882797,0.3207082099438212,True,20,23.758613843660434,0.25309548267150783,True,430.52363899649833,2.9699138601743834e-86,467.42384297929135,1.8860142222853213e-86,10,196.44205935675691,8.904728433350857e-37,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
2,prediction,LBUTTRUU,1731,0.08169026773689303,1.699026864957132e-10,False,10,9.330766568948052,0.5010265867333775,True,20,14.383344084582106,0.8105398910489872,True,513.674368385898,5.2751949297570556e-104,548.8553554755625,1.652299201614819e-103,10,232.4824300865177,2.5904990926107553e-44,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,validation,SPXT,1890,0.12309208807292063,2.0429956702000985e-25,False,10,11.165702436451584,0.34475489124627406,True,20,20.73014023954454,0.4131665424326144,True,58.15263502200969,8.091067979371796e-09,75.37975986142163,2.3545072056335595e-08,10,41.29311349191192,1.0012436833652626e-05,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,validation,DBLCIX,1890,0.09865351774885689,1.8294123412383854e-16,False,10,20.075122695886677,0.028550107015038965,False,20,27.888825745229,0.11205732993600166,True,163.20986837330815,7.040898029362706e-30,235.12211562723758,1.1239680007192466e-38,10,99.7510010031942,6.112253654100006e-17,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,validation,IBOXIG,1890,0.06732238947114941,6.831178070141416e-08,False,10,31.820794341301298,0.0004289179212389336,False,20,50.03961892089197,0.00021860283427657415,False,255.01312206462447,4.789095705102878e-49,343.3399533011653,1.0481022865390523e-60,10,173.5799188465223,5.029338363638905e-32,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,validation,JPEICORE,1890,0.12686210361524108,5.64293865487181e-27,False,10,345.36216914442673,3.84099490882505e-68,False,20,356.0332507679992,2.5417917025721116e-63,False,328.8458623349667,1.2198203861952758e-64,447.8839811811379,2.2512124241910866e-82,10,169.36395410622475,3.756571948042816e-31,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,validation,LT11TRUU,1890,0.05448641718597158,2.5642687603568928e-05,False,10,15.726999763167434,0.10771859179312618,True,20,28.674399201868376,0.0943713010800473,True,17.36828468539451,0.06660174499022417,37.01439527355002,0.011655610424081376,10,18.976119103746463,0.04056705647894176,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,validation,LBUTTRUU,1890,0.055876659193805356,1.4334078657976546e-05,False,10,10.757378567754623,0.37673030905869587,True,20,21.44167710857848,0.37155804912859514,True,61.90035194475004,1.5806871409854884e-09,84.82315783803755,5.872421199884864e-10,10,52.059758280331366,1.1124128526314337e-07,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,prediction,SPXT,1731,0.10597739081505805,2.2059292817344437e-17,False,10,35.381293324474065,0.00010746966029860197,False,20,42.06795043481317,0.0027097368672237897,False,269.0916646994694,5.197136128158161e-52,358.9985847821414,6.215224169296835e-64,10,135.5337670883676,3.4600635765270206e-24,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,prediction,DBLCIX,1731,0.07798768440545445,1.3262129705677614e-09,False,10,8.320608021606587,0.5975516971101916,True,20,15.30234130638743,0.7588540585036231,True,62.40934883713068,1.2649074022363834e-09,77.81864142724447,9.180059749589487e-09,10,45.37069567852206,1.864135973597525e-06,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,prediction,IBOXIG,1731,0.04437884634734855,0.0021187839411129787,False,10,14.438391287949708,0.15391772208972626,True,20,18.036677481321725,0.5849920268519841,True,453.8756386085698,3.1135948553257774e-91,642.9994990484056,2.463694018328027e-123,10,200.57466555712196,1.2247046504463145e-37,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,prediction,JPEICORE,1731,0.11558204575677455,1.3305384501824806e-20,False,10,168.83368651298096,4.8367792457979285e-31,False,20,171.65385952918248,4.131939350374746e-26,False,325.8901808036407,5.1585368422984814e-64,346.00673123443374,2.9605965343426166e-61,10,165.65648447355653,2.197243936006022e-30,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,prediction,LT11TRUU,1731,0.06335731487162502,1.7484822496428778e-06,False,10,7.51292743960372,0.6762948274075593,True,20,19.048522792619917,0.5186740227541737,True,124.56493321997871,5.979362894594234e-22,156.23743870526252,3.9890703193489083e-23,10,74.52012317160163,5.898917606071018e-12,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
3,prediction,LBUTTRUU,1731,0.08862200863214309,2.8031108393493964e-12,False,10,8.771514896582483,0.5539163684824483,True,20,13.552705003600993,0.8524318518386882,True,308.5553337986335,2.4120945375162256e-60,387.36507576338164,8.498554390880309e-70,10,154.41192031978315,4.6031899637907795e-28,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
