MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,N_STATES,STATE_LAG,EXOG_LAG,REFERENCE_STATE,SIGNIFICANCE_LEVEL,VIF_THRESHOLD,SELECTED_TERM_COUNT,SELECTED_FEATURE_COUNT,SELECTED_TERMS,SELECTED_FEATURES,TERM_P_VALUES,TERM_VIFS,FEATURE_VIFS,MAX_SELECTED_P_VALUE,MAX_SELECTED_VIF,ALL_TERMS_SIGNIFICANT,ALL_FEATURES_WITHIN_VIF_THRESHOLD,REMOVED_TERMS,GLOBAL_DURATION_REMOVED_AS_REDUNDANT,STATE_LAG_DEFECT_CORRECTED,TRAIN_ROWS,SPLIT,SPLIT_START,SPLIT_END,EVAL_ROWS
pvalue_vif_selected_mlr,0.660937862848743,0.8195767195767196,0.326202573713396,4,0,0,0,0.05,5.0,4,6,STATE_LAG_0|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,"{""DBLCIX_LAG_0"": 0.04378769705806624, ""DURATION_STATE_2"": 0.00945905643219922, ""LT11TRUU_LAG_0"": 0.038925762699382235, ""STATE_LAG_0"": 2.0993997835258168e-128}","{""DBLCIX_LAG_0"": 1.0247382418507671, ""DURATION_STATE_2"": 1.6540985887657342, ""LT11TRUU_LAG_0"": 1.020809176129695, ""STATE_LAG_0"": 1.7023488291984659}","{""DBLCIX_LAG_0"": 1.0247382418507671, ""DURATION_STATE_2"": 1.6540985887657342, ""LT11TRUU_LAG_0"": 1.020809176129695, ""STATE_LAG_0_1"": 1.041361750912283, ""STATE_LAG_0_2"": 1.7023488291984659, ""STATE_LAG_0_3"": 1.0186272759505388}",0.04378769705806624,1.7023488291984659,True,True,IBOXIG_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1|DURATION_STATE_3|LBUTTRUU_LAG_0|SPXT_LAG_0|DURATION_STATE_0,True,True,2318,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.4591855331510471,0.8832369942196532,0.21272784910468426,4,0,0,0,0.05,5.0,4,6,STATE_LAG_0|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,"{""DBLCIX_LAG_0"": 0.04378769705806624, ""DURATION_STATE_2"": 0.00945905643219922, ""LT11TRUU_LAG_0"": 0.038925762699382235, ""STATE_LAG_0"": 2.0993997835258168e-128}","{""DBLCIX_LAG_0"": 1.0247382418507671, ""DURATION_STATE_2"": 1.6540985887657342, ""LT11TRUU_LAG_0"": 1.020809176129695, ""STATE_LAG_0"": 1.7023488291984659}","{""DBLCIX_LAG_0"": 1.0247382418507671, ""DURATION_STATE_2"": 1.6540985887657342, ""LT11TRUU_LAG_0"": 1.020809176129695, ""STATE_LAG_0_1"": 1.041361750912283, ""STATE_LAG_0_2"": 1.7023488291984659, ""STATE_LAG_0_3"": 1.0186272759505388}",0.04378769705806624,1.7023488291984659,True,True,IBOXIG_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1|DURATION_STATE_3|LBUTTRUU_LAG_0|SPXT_LAG_0|DURATION_STATE_0,True,True,2318,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.6588706264679113,0.8195767195767196,0.3263877187949341,4,0,1,0,0.05,5.0,3,5,STATE_LAG_0|DBLCIX_LAG_1|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_1|DURATION_STATE_2,"{""DBLCIX_LAG_1"": 0.011785512724829661, ""DURATION_STATE_2"": 0.008933075104745294, ""STATE_LAG_0"": 3.270178196738634e-132}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0"": 1.703482985538155}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0_1"": 1.0388848754871374, ""STATE_LAG_0_2"": 1.703482985538155, ""STATE_LAG_0_3"": 1.0249238627525037}",0.011785512724829661,1.703482985538155,True,True,LT11TRUU_LAG_1|LBUTTRUU_LAG_1|IBOXIG_LAG_0|DURATION_STATE_1|IBOXIG_LAG_1|JPEICORE_LAG_0|JPEICORE_LAG_1|LBUTTRUU_LAG_0|DURATION_STATE_3|DBLCIX_LAG_0|SPXT_LAG_1|SPXT_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_0,True,True,2317,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.44037816941022,0.8855491329479769,0.20894203732745356,4,0,1,0,0.05,5.0,3,5,STATE_LAG_0|DBLCIX_LAG_1|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_1|DURATION_STATE_2,"{""DBLCIX_LAG_1"": 0.011785512724829661, ""DURATION_STATE_2"": 0.008933075104745294, ""STATE_LAG_0"": 3.270178196738634e-132}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0"": 1.703482985538155}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0_1"": 1.0388848754871374, ""STATE_LAG_0_2"": 1.703482985538155, ""STATE_LAG_0_3"": 1.0249238627525037}",0.011785512724829661,1.703482985538155,True,True,LT11TRUU_LAG_1|LBUTTRUU_LAG_1|IBOXIG_LAG_0|DURATION_STATE_1|IBOXIG_LAG_1|JPEICORE_LAG_0|JPEICORE_LAG_1|LBUTTRUU_LAG_0|DURATION_STATE_3|DBLCIX_LAG_0|SPXT_LAG_1|SPXT_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_0,True,True,2317,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.6586590923758108,0.8195767195767196,0.3263299809866189,4,0,2,0,0.05,5.0,3,5,STATE_LAG_0|DBLCIX_LAG_1|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_1|DURATION_STATE_2,"{""DBLCIX_LAG_1"": 0.01170316866388118, ""DURATION_STATE_2"": 0.008715152754780334, ""STATE_LAG_0"": 5.219747071947111e-132}","{""DBLCIX_LAG_1"": 1.012823622692213, ""DURATION_STATE_2"": 1.6573441771491735, ""STATE_LAG_0"": 1.7050793505833992}","{""DBLCIX_LAG_1"": 1.012823622692213, ""DURATION_STATE_2"": 1.6573441771491735, ""STATE_LAG_0_1"": 1.0388569070719182, ""STATE_LAG_0_2"": 1.7050793505833992, ""STATE_LAG_0_3"": 1.0249163662693954}",0.01170316866388118,1.7050793505833992,True,True,IBOXIG_LAG_0|LBUTTRUU_LAG_2|LT11TRUU_LAG_1|JPEICORE_LAG_1|JPEICORE_LAG_2|JPEICORE_LAG_0|SPXT_LAG_2|LBUTTRUU_LAG_1|LT11TRUU_LAG_2|LBUTTRUU_LAG_0|DURATION_STATE_1|IBOXIG_LAG_1|DURATION_STATE_3|DBLCIX_LAG_0|DBLCIX_LAG_2|IBOXIG_LAG_2|SPXT_LAG_1|SPXT_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_0,True,True,2316,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.4402826747984728,0.8855491329479769,0.2089171113603294,4,0,2,0,0.05,5.0,3,5,STATE_LAG_0|DBLCIX_LAG_1|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_1|DURATION_STATE_2,"{""DBLCIX_LAG_1"": 0.01170316866388118, ""DURATION_STATE_2"": 0.008715152754780334, ""STATE_LAG_0"": 5.219747071947111e-132}","{""DBLCIX_LAG_1"": 1.012823622692213, ""DURATION_STATE_2"": 1.6573441771491735, ""STATE_LAG_0"": 1.7050793505833992}","{""DBLCIX_LAG_1"": 1.012823622692213, ""DURATION_STATE_2"": 1.6573441771491735, ""STATE_LAG_0_1"": 1.0388569070719182, ""STATE_LAG_0_2"": 1.7050793505833992, ""STATE_LAG_0_3"": 1.0249163662693954}",0.01170316866388118,1.7050793505833992,True,True,IBOXIG_LAG_0|LBUTTRUU_LAG_2|LT11TRUU_LAG_1|JPEICORE_LAG_1|JPEICORE_LAG_2|JPEICORE_LAG_0|SPXT_LAG_2|LBUTTRUU_LAG_1|LT11TRUU_LAG_2|LBUTTRUU_LAG_0|DURATION_STATE_1|IBOXIG_LAG_1|DURATION_STATE_3|DBLCIX_LAG_0|DBLCIX_LAG_2|IBOXIG_LAG_2|SPXT_LAG_1|SPXT_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_0,True,True,2316,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.6608314974778118,0.8195767195767196,0.32616037441169393,4,1,0,0,0.05,5.0,4,6,STATE_LAG_0|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,"{""DBLCIX_LAG_0"": 0.04400106928844728, ""DURATION_STATE_2"": 0.009451153864046, ""LT11TRUU_LAG_0"": 0.03807547441786117, ""STATE_LAG_0"": 3.0912856554274444e-128}","{""DBLCIX_LAG_0"": 1.0247787973258353, ""DURATION_STATE_2"": 1.6558234378366385, ""LT11TRUU_LAG_0"": 1.0208064644211288, ""STATE_LAG_0"": 1.7039596832009338}","{""DBLCIX_LAG_0"": 1.0247787973258353, ""DURATION_STATE_2"": 1.6558234378366385, ""LT11TRUU_LAG_0"": 1.0208064644211288, ""STATE_LAG_0_1"": 1.0413356746807794, ""STATE_LAG_0_2"": 1.7039596832009338, ""STATE_LAG_0_3"": 1.018620112897898}",0.04400106928844728,1.7039596832009338,True,True,STATE_LAG_1|IBOXIG_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1|DURATION_STATE_3|LBUTTRUU_LAG_0|SPXT_LAG_0|DURATION_STATE_0,True,True,2317,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.4591366550689656,0.8832369942196532,0.2127090516287561,4,1,0,0,0.05,5.0,4,6,STATE_LAG_0|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_2,"{""DBLCIX_LAG_0"": 0.04400106928844728, ""DURATION_STATE_2"": 0.009451153864046, ""LT11TRUU_LAG_0"": 0.03807547441786117, ""STATE_LAG_0"": 3.0912856554274444e-128}","{""DBLCIX_LAG_0"": 1.0247787973258353, ""DURATION_STATE_2"": 1.6558234378366385, ""LT11TRUU_LAG_0"": 1.0208064644211288, ""STATE_LAG_0"": 1.7039596832009338}","{""DBLCIX_LAG_0"": 1.0247787973258353, ""DURATION_STATE_2"": 1.6558234378366385, ""LT11TRUU_LAG_0"": 1.0208064644211288, ""STATE_LAG_0_1"": 1.0413356746807794, ""STATE_LAG_0_2"": 1.7039596832009338, ""STATE_LAG_0_3"": 1.018620112897898}",0.04400106928844728,1.7039596832009338,True,True,STATE_LAG_1|IBOXIG_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1|DURATION_STATE_3|LBUTTRUU_LAG_0|SPXT_LAG_0|DURATION_STATE_0,True,True,2317,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.6588706264679113,0.8195767195767196,0.3263877187949341,4,1,1,0,0.05,5.0,3,5,STATE_LAG_0|DBLCIX_LAG_1|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_1|DURATION_STATE_2,"{""DBLCIX_LAG_1"": 0.011785512724829661, ""DURATION_STATE_2"": 0.008933075104745294, ""STATE_LAG_0"": 3.270178196738634e-132}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0"": 1.703482985538155}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0_1"": 1.0388848754871374, ""STATE_LAG_0_2"": 1.703482985538155, ""STATE_LAG_0_3"": 1.0249238627525037}",0.011785512724829661,1.703482985538155,True,True,STATE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|IBOXIG_LAG_0|DURATION_STATE_1|IBOXIG_LAG_1|JPEICORE_LAG_0|JPEICORE_LAG_1|LBUTTRUU_LAG_0|DURATION_STATE_3|DBLCIX_LAG_0|SPXT_LAG_1|SPXT_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_0,True,True,2317,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.44037816941022,0.8855491329479769,0.20894203732745356,4,1,1,0,0.05,5.0,3,5,STATE_LAG_0|DBLCIX_LAG_1|DURATION_STATE_2,STATE_LAG_0_1|STATE_LAG_0_2|STATE_LAG_0_3|DBLCIX_LAG_1|DURATION_STATE_2,"{""DBLCIX_LAG_1"": 0.011785512724829661, ""DURATION_STATE_2"": 0.008933075104745294, ""STATE_LAG_0"": 3.270178196738634e-132}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0"": 1.703482985538155}","{""DBLCIX_LAG_1"": 1.0128256408166667, ""DURATION_STATE_2"": 1.655705547505796, ""STATE_LAG_0_1"": 1.0388848754871374, ""STATE_LAG_0_2"": 1.703482985538155, ""STATE_LAG_0_3"": 1.0249238627525037}",0.011785512724829661,1.703482985538155,True,True,STATE_LAG_1|LT11TRUU_LAG_1|LBUTTRUU_LAG_1|IBOXIG_LAG_0|DURATION_STATE_1|IBOXIG_LAG_1|JPEICORE_LAG_0|JPEICORE_LAG_1|LBUTTRUU_LAG_0|DURATION_STATE_3|DBLCIX_LAG_0|SPXT_LAG_1|SPXT_LAG_0|LT11TRUU_LAG_0|DURATION_STATE_0,True,True,2317,prediction,2017-01-03,2023-12-05,1730
