DATE,HARD_STATE,POSTERIOR_STATE_0,POSTERIOR_STATE_1,POSTERIOR_STATE_2,POSTERIOR_STATE_3,MAX_POSTERIOR,POSTERIOR_ENTROPY,NORMALIZED_POSTERIOR_ENTROPY
2000-01-03,2,1.4695117948767618e-151,2.5257564446408578e-26,1.0,8.419325330852551e-55,1.0,1.4886978169564298e-24,1.0738684789526335e-24
2000-01-04,2,8.177248180465848e-06,0.00116849752084686,0.9985543400049822,0.00026898522599028623,0.9985543400049822,0.01164143031559861,0.008397516892584276
2000-01-05,2,0.0008755426209261264,0.0016276478300046677,0.9974355265246055,6.128302446361137e-05,0.9974355265246055,0.01977053916585421,0.014261429405139445
2000-01-06,2,0.013155034511249757,0.002239233487255669,0.984449913088809,0.0001558189126855131,0.984449913088809,0.08743135047626838,0.06306838787516865
2000-01-07,2,0.0007150628263814238,0.0014530933871636869,0.9975920805462284,0.00023976324022654432,0.9975920805462284,0.01907755111134103,0.013761544190318718
2000-01-10,2,0.39375310840042244,0.0001849271919766773,0.6060539055162151,8.058891385923812e-06,0.6060539055162151,0.6721777707233145,0.4848737682091623
2000-01-11,2,0.009085854912411788,0.0001384169177955548,0.9906703337094546,0.00010539446033810135,0.9906703337094546,0.054193993381680974,0.039092702748860224
2000-01-12,2,0.1777976462075276,9.617218278104064e-05,0.8220895328876686,1.664872202253928e-05,0.8220895328876686,0.4692009170909483,0.3384569181338324
2000-01-13,2,0.00575301617109645,0.0015314886137128773,0.9924388764911523,0.0002766187240385037,0.9924388764911523,0.049399369601228905,0.03563411277336698
2000-01-14,0,0.22435698883389715,0.00098437092668333,0.7746025092841381,5.6130955281359814e-05,0.7746025092841381,0.5405075525631988,0.3898937828229788
2000-01-18,0,0.7394024266769985,6.782449017848769e-05,0.26052572846374983,4.02036907313436e-06,0.7394024266769985,0.5743572209724669,0.41431115719787226
2000-01-19,0,0.9587144562721719,7.132364844168052e-06,0.04127795117093654,4.6019204730047166e-07,0.9587144562721719,0.17208300600498116,0.12413164969232603
2000-01-20,0,0.9914552301057665,6.047286369914187e-07,0.008544135020654871,3.0144941655994434e-08,0.9914552301057665,0.049208869881408754,0.035496696272829344
2000-01-21,0,0.9927918200544236,1.7644337303376484e-07,0.007207994160729972,9.341473472491827e-09,0.9927918200544236,0.04273895143354384,0.030829636642983976
2000-01-24,2,0.2125751363469664,3.8800826097825665e-05,0.7873813520241193,4.710802816579143e-06,0.7873813520241193,0.5178336033063226,0.37353798574784713
2000-01-25,2,0.4345982093555849,6.502954166986508e-05,0.5653289560708272,7.805031918024326e-06,0.5653289560708272,0.6853178483135061,0.49435233059729505
2000-01-26,2,0.7966485766386266,5.838360461625608e-05,0.20328940211044488,3.637646312292194e-06,0.7966485766386266,0.5055914612233046,0.3647071469113331
2000-01-27,2,0.8127696652743212,6.36976340687974e-05,0.18716225403731834,4.383054291678548e-06,0.8127696652743212,0.482805394154936,0.3482704739308838
2000-01-28,2,0.00732017135323154,0.0011036228749121703,0.9913567089824976,0.00021949678935861822,0.9913567089824976,0.05396382227395485,0.03892666939102403
2000-01-31,2,1.6724893309535756e-06,0.002195620510472562,0.9966448998382674,0.0011578071619290223,0.9966448998382674,0.02463994032027072,0.017773959853927292
2000-02-01,2,0.016138770869526385,0.0027135947325407903,0.9809253650426804,0.0002222693552524575,0.9809253650426804,0.10339426304025773,0.07458319527227443
2000-02-02,2,6.542939492587563e-06,0.00710144285907831,0.9924170717829065,0.0004749424185226063,0.9924170717829065,0.046400703971223284,0.03347103275652033
2000-02-03,2,0.03251161063155464,0.0027190438021776936,0.9646554472485958,0.0001138983176719828,0.9646554472485958,0.16319926048754488,0.11772338189106357
2000-02-04,2,0.0016952633521738248,0.0008588360914295107,0.9973446627168235,0.00010123783957316107,0.9973446627168235,0.020461962833786387,0.014760186153578951
