N_STATES,EVENT_ID,TRANSITION_DATE,FROM_STATE,TO_STATE,RELATIVE_DAY,DESTINATION_POSTERIOR,SOURCE_POSTERIOR,MAX_POSTERIOR,NORMALIZED_POSTERIOR_ENTROPY,ROLLING_MEAN_Z_W5_SPXT,ROLLING_STD_RATIO_W5_SPXT,ROLLING_MEAN_Z_W5_LT11TRUU,ROLLING_STD_RATIO_W5_LT11TRUU,ROLLING_MEAN_Z_W20_SPXT,ROLLING_STD_RATIO_W20_SPXT,ROLLING_MEAN_Z_W20_LT11TRUU,ROLLING_STD_RATIO_W20_LT11TRUU
2,2,2000-03-14,0,1,-10,0.02117118951384676,0.9788288104861533,0.9788288104861533,0.14796688708966171,0.15910337778996336,0.7462515824962788,-0.24032521617419542,0.7654674310603397,-0.05836168289715686,0.8561569861394108,0.19013060259499365,1.0089305165386937
2,2,2000-03-14,0,1,-9,0.010592083160148928,0.9894079168398511,0.9894079168398511,0.08469320790546651,0.203049805450873,0.7683854113532442,-0.10167801480927725,0.6674289865098166,-0.062023885202232655,0.8528604610347955,0.13147726932159376,1.0034077677214541
2,2,2000-03-14,0,1,-8,0.004766849559829827,0.9952331504401701,0.9952331504401701,0.04362620335109504,0.30363829543028836,0.7189641580704483,-0.11943970217342548,0.655642053784923,-0.055397042935905014,0.8538845264587659,0.09893626747160576,0.9872490381912284
2,2,2000-03-14,0,1,-7,0.023788884888284702,0.9762111151117153,0.9762111151117153,0.162215592857752,0.7849563126688223,0.4026034956928373,0.16474729565294596,0.574953150051342,-0.026204058846872203,0.8916112558373265,0.0479708287289566,0.9344934648981309
2,2,2000-03-14,0,1,-6,0.017691950878730458,0.9823080491212695,0.9823080491212695,0.12827761481369218,0.45375371182120505,0.7767659867503839,0.1891364783022241,0.5423624686049515,-0.06899950864047227,0.910573596335525,0.04618140500197151,0.9355226868052712
2,2,2000-03-14,0,1,-5,0.13620657300016295,0.8637934269998371,0.8637934269998371,0.5742172924469584,-0.09690200239343069,1.1254590617088684,-0.010218579874484268,0.39067564118595466,-0.15919431969691059,0.9852156023139755,0.10165354053850903,0.8941321282088435
2,2,2000-03-14,0,1,-4,0.04188192538581871,0.9581180746141812,0.9581180746141812,0.25085519329319733,-0.11462008592655934,1.1138463893950894,0.0022411112615600137,0.38112336945492464,-0.17318044469058103,0.9725015644021586,0.004892109375612036,0.821294169177557
2,2,2000-03-14,0,1,-3,0.1763809021134887,0.8236190978865113,0.8236190978865113,0.6720954593880459,0.2121181159205845,1.3541426479633913,-0.05316474932212621,0.35539751747538784,-0.012322568204775352,1.014167356744094,0.07368551043526073,0.7585728268208504
2,2,2000-03-14,0,1,-2,0.05176702710892818,0.9482329728910718,0.9482329728910718,0.2938562628322207,-0.12801328292797942,1.2258357045854857,-0.2795599882621647,0.2332522838531583,-0.04148067417661697,1.014258604999566,0.11166105841905524,0.7042649137586993
2,2,2000-03-14,0,1,-1,0.017187803243265267,0.9828121967567347,0.9828121967567347,0.12534542454244313,-0.0646746221087637,1.1933634805907203,-0.13614099029195295,0.2664272888116796,0.0037562438203669777,0.9690218250481556,0.08872992473250567,0.693185224791603
