N_STATES,SPLIT,MODEL,STATE,BIN,BIN_LEFT,BIN_RIGHT,COUNT,MEAN_PREDICTED_PROBABILITY,OBSERVED_FREQUENCY
2,prediction,hard_state_fixed_transition,0,10,0.9,1.0,1324,0.9855899999999999,0.9690332326283988
2,prediction,hard_state_fixed_transition,1,1,0.0,0.1,1324,0.014410000000000003,0.030966767371601207
2,prediction,hard_state_fixed_transition,1,10,0.9,1.0,406,0.9410000000000003,0.8990147783251231
2,prediction,soft_posterior_fixed_transition,0,1,0.0,0.1,124,0.06955337936659471,0.0
2,prediction,soft_posterior_fixed_transition,0,2,0.1,0.2,86,0.1428081906542909,0.0
2,prediction,soft_posterior_fixed_transition,0,3,0.2,0.30000000000000004,62,0.24468838752660105,0.04838709677419355
2,prediction,soft_posterior_fixed_transition,0,4,0.30000000000000004,0.4,56,0.35061763512066346,0.17857142857142858
2,prediction,soft_posterior_fixed_transition,0,5,0.4,0.5,42,0.4471306569364546,0.30952380952380953
2,prediction,soft_posterior_fixed_transition,0,6,0.5,0.6000000000000001,36,0.539101262084627,0.6111111111111112
2,prediction,soft_posterior_fixed_transition,0,7,0.6000000000000001,0.7000000000000001,38,0.6468420396494835,0.5789473684210527
2,prediction,soft_posterior_fixed_transition,0,8,0.7000000000000001,0.8,54,0.752701533867045,0.8148148148148148
2,prediction,soft_posterior_fixed_transition,0,9,0.8,0.9,71,0.852711406969388,0.8732394366197183
2,prediction,soft_posterior_fixed_transition,0,10,0.9,1.0,1161,0.9724149338500918,0.9888027562446167
2,prediction,soft_posterior_fixed_transition,1,1,0.0,0.1,1161,0.02758506614990806,0.01119724375538329
2,prediction,soft_posterior_fixed_transition,1,2,0.1,0.2,71,0.14728859303061212,0.1267605633802817
2,prediction,soft_posterior_fixed_transition,1,3,0.2,0.30000000000000004,54,0.24729846613295509,0.18518518518518517
2,prediction,soft_posterior_fixed_transition,1,4,0.30000000000000004,0.4,38,0.3531579603505163,0.42105263157894735
2,prediction,soft_posterior_fixed_transition,1,5,0.4,0.5,36,0.4608987379153729,0.3888888888888889
2,prediction,soft_posterior_fixed_transition,1,6,0.5,0.6000000000000001,42,0.5528693430635454,0.6904761904761905
2,prediction,soft_posterior_fixed_transition,1,7,0.6000000000000001,0.7000000000000001,56,0.6493823648793364,0.8214285714285714
2,prediction,soft_posterior_fixed_transition,1,8,0.7000000000000001,0.8,62,0.7553116124733991,0.9516129032258065
2,prediction,soft_posterior_fixed_transition,1,9,0.8,0.9,86,0.8571918093457092,1.0
2,prediction,soft_posterior_fixed_transition,1,10,0.9,1.0,124,0.9304466206334052,1.0
2,prediction,hard_state_jeffreys_smoothed_transition,0,1,0.0,0.1,406,0.04430379746835444,0.10098522167487685
2,prediction,hard_state_jeffreys_smoothed_transition,0,10,0.9,1.0,1324,0.990909090909091,0.9690332326283988
2,prediction,hard_state_jeffreys_smoothed_transition,1,1,0.0,0.1,1324,0.009090909090909092,0.030966767371601207
2,prediction,hard_state_jeffreys_smoothed_transition,1,10,0.9,1.0,406,0.9556962025316457,0.8990147783251231
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,1,0.0,0.1,143,0.06019504107355938,0.0
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,2,0.1,0.2,76,0.1466988774301776,0.013157894736842105
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,3,0.2,0.30000000000000004,53,0.24066176405891365,0.03773584905660377
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,4,0.30000000000000004,0.4,61,0.3464934246323277,0.18032786885245902
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,5,0.4,0.5,39,0.4496723736827991,0.3333333333333333
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,6,0.5,0.6000000000000001,35,0.5387114874766414,0.6285714285714286
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,7,0.6000000000000001,0.7000000000000001,37,0.6461216776491746,0.5675675675675675
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,8,0.7000000000000001,0.8,52,0.7511563604086824,0.8076923076923077
