N_STATES,EVENT_ID,TRANSITION_DATE,FROM_STATE,TO_STATE,RELATIVE_DAY,DESTINATION_POSTERIOR,SOURCE_POSTERIOR,MAX_POSTERIOR,NORMALIZED_POSTERIOR_ENTROPY,ROLLING_MEAN_Z_W5_SPXT,ROLLING_STD_RATIO_W5_SPXT,ROLLING_MEAN_Z_W5_DBLCIX,ROLLING_STD_RATIO_W5_DBLCIX,ROLLING_MEAN_Z_W5_IBOXIG,ROLLING_STD_RATIO_W5_IBOXIG,ROLLING_MEAN_Z_W5_JPEICORE,ROLLING_STD_RATIO_W5_JPEICORE,ROLLING_MEAN_Z_W5_LT11TRUU,ROLLING_STD_RATIO_W5_LT11TRUU,ROLLING_MEAN_Z_W5_LBUTTRUU,ROLLING_STD_RATIO_W5_LBUTTRUU,ROLLING_MEAN_Z_W20_SPXT,ROLLING_STD_RATIO_W20_SPXT,ROLLING_MEAN_Z_W20_DBLCIX,ROLLING_STD_RATIO_W20_DBLCIX,ROLLING_MEAN_Z_W20_IBOXIG,ROLLING_STD_RATIO_W20_IBOXIG,ROLLING_MEAN_Z_W20_JPEICORE,ROLLING_STD_RATIO_W20_JPEICORE,ROLLING_MEAN_Z_W20_LT11TRUU,ROLLING_STD_RATIO_W20_LT11TRUU,ROLLING_MEAN_Z_W20_LBUTTRUU,ROLLING_STD_RATIO_W20_LBUTTRUU
4,2,2000-01-24,0,2,-10,0.9975920805462284,0.0007150628263814238,0.9975920805462284,0.013761544190318718,-0.25329547987876294,1.4854041993522145,-0.32084133101446166,0.17330275360559128,-0.13720340841767797,0.14677664697851958,-0.23356776434555582,0.8449279914633,-0.020557472519286923,1.1798673267294963,-0.27467365331739213,0.26015003203117054,,,,,,,,,,,,
4,2,2000-01-24,0,2,-9,0.6060539055162151,0.39375310840042244,0.6060539055162151,0.4848737682091623,0.03605338033941652,1.5184099867832996,-0.14612464234551664,0.4642124678645174,-0.25654897878450644,0.21421155435373582,-0.23693323551364598,0.8436266887069521,0.1904619773592501,0.9606518546325276,-0.22268043333369109,0.2340452228926921,,,,,,,,,,,,
4,2,2000-01-24,0,2,-8,0.9906703337094546,0.009085854912411788,0.9906703337094546,0.039092702748860224,0.397948724315288,0.9150138380393714,0.20615574792951746,0.7215994534858104,-0.422005337702155,0.42866414327112146,-0.2982595990210665,0.9364599677615201,-0.30474447034565844,0.9933044074466872,-0.29423545885581437,0.1739102780065849,,,,,,,,,,,,
4,2,2000-01-24,0,2,-7,0.8220895328876686,0.1777976462075276,0.8220895328876686,0.3384569181338324,0.3094978191184097,0.9553389080107412,0.5542405401919182,0.6591970595922161,-0.5017498779018086,0.3886496279583233,-0.3696823760327575,0.9557407035835614,-0.08948342348463824,0.8489568049194597,-0.15112540781156783,0.356231518449046,,,,,,,,,,,,
4,2,2000-01-24,0,2,-6,0.9924388764911523,0.00575301617109645,0.9924388764911523,0.03563411277336698,0.4621244599470925,0.968817677513681,0.7006369422755883,0.5386604532359256,-0.3590776733269182,0.5424321249749522,-0.04061408404172066,1.1177534671645537,-0.039379559129055955,0.9161118434130976,-0.032725005868486194,0.26773043058482576,,,,,,,,,,,,
4,2,2000-01-24,0,2,-5,0.7746025092841381,0.22435698883389715,0.7746025092841381,0.3898937828229788,0.2372303602982472,0.7116026816150682,1.1314349525013319,0.5050136730380385,-0.5131419550731877,0.5279084492923108,-0.2272107632502745,0.9770558688582047,-0.30209347223160643,0.8541075724673913,-0.14700713296137366,0.3728026937500617,,,,,,,,,,,,
4,2,2000-01-24,0,2,-4,0.26052572846374983,0.7394024266769985,0.7394024266769985,0.41431115719787226,-0.013752571009614366,0.6948727434435429,1.211750685886027,0.465842304694825,-0.47408340477131655,0.5274667613583481,-0.3192003085114052,0.965118364439985,-0.32224105789840146,0.8596924068908735,-0.20414819650781743,0.4037137032214811,,,,,,,,,,,,
4,2,2000-01-24,0,2,-3,0.04127795117093654,0.9587144562721719,0.9587144562721719,0.12413164969232603,0.17710048626062166,0.5363054192228202,0.9631615036375024,0.6312587594561295,-0.21749042848263533,0.4297454138643024,0.1250418856764945,0.6583496535057892,0.026895393722243432,0.7087402678934936,-0.18510117532566955,0.40259493809943536,,,,,,,,,,,,
4,2,2000-01-24,0,2,-2,0.008544135020654871,0.9914552301057665,0.9914552301057665,0.035496696272829344,0.13817650747524454,0.5747511415504569,0.7342017263766549,0.7302862091004722,-0.18928147548683955,0.4176094425595994,0.22824966816459238,0.5401003584764761,0.0314020905161318,0.7068649726511662,-0.2659223192607296,0.28612472146819745,,,,,,,,,,,,
4,2,2000-01-24,0,2,-1,0.007207994160729972,0.9927918200544236,0.9927918200544236,0.030829636642983976,-0.07137122060947365,0.45461725818213106,0.5647295352235016,0.8529254879564844,-0.2749932942048345,0.3129803251637361,0.061471874723680556,0.3207286851287975,-0.15628857595874787,0.43069003369198555,-0.1701724289937158,0.40482937659502427,,,,,,,,,,,,
