N_STATES,FROM_STATE,TO_STATE,RELATIVE_DAY,ROLLING_WINDOW,FEATURE,STATISTIC,EVENT_COUNT,MEDIAN,PERCENTILE_25,PERCENTILE_75
2,0,1,-10,5,SPXT,rolling_mean_z,104,0.04588900938733419,-0.1936190213646233,0.2282666841801088
2,0,1,-9,5,SPXT,rolling_mean_z,104,0.035495330464357065,-0.2206844403049931,0.20995567265473
2,0,1,-8,5,SPXT,rolling_mean_z,104,0.01526602249346237,-0.22037053725027217,0.21888447065567682
2,0,1,-7,5,SPXT,rolling_mean_z,104,-0.021356000557295668,-0.24380863200275746,0.20092224030220954
2,0,1,-6,5,SPXT,rolling_mean_z,104,-0.010822809165553931,-0.26989746366177336,0.14061797567862835
2,0,1,-5,5,SPXT,rolling_mean_z,104,-0.020797950682236714,-0.2128717420541644,0.127050388091252
2,0,1,-4,5,SPXT,rolling_mean_z,104,-0.07123170814070917,-0.25367913916786666,0.1352816237483747
2,0,1,-3,5,SPXT,rolling_mean_z,104,-0.07562635090680002,-0.33194563414491496,0.10689083635473959
2,0,1,-2,5,SPXT,rolling_mean_z,104,-0.04444531413786908,-0.26885112014603746,0.1371301639595086
2,0,1,-1,5,SPXT,rolling_mean_z,104,-0.04409653296595693,-0.2760011341702331,0.16032411189165507
2,0,1,0,5,SPXT,rolling_mean_z,104,-0.10520299428493582,-0.4291858248739753,0.20695615457628713
2,0,1,1,5,SPXT,rolling_mean_z,104,-0.16177530036905924,-0.38963403997915647,0.25895942730836347
2,0,1,2,5,SPXT,rolling_mean_z,104,-0.13052450736574583,-0.4063755362309315,0.28811753328020495
2,0,1,3,5,SPXT,rolling_mean_z,104,-0.05169996251363815,-0.3913779458387166,0.3426669085672386
2,0,1,4,5,SPXT,rolling_mean_z,104,-0.04325945815336831,-0.32092414911249634,0.3169617361973256
2,0,1,5,5,SPXT,rolling_mean_z,104,0.07769785226570693,-0.15881066040780736,0.31867076393969473
2,0,1,6,5,SPXT,rolling_mean_z,104,0.10636766459687155,-0.1782726498004959,0.3378188502776621
