N_STATES,SPLIT,MODEL,STATE,BIN,BIN_LEFT,BIN_RIGHT,COUNT,MEAN_PREDICTED_PROBABILITY,OBSERVED_FREQUENCY
4,validation,hard_state_fixed_transition,0,1,0.0,0.1,923,0.06323085590465873,0.1495124593716143
4,validation,hard_state_fixed_transition,0,10,0.9,1.0,967,0.9490099999999999,0.8583247156153051
4,validation,hard_state_fixed_transition,1,1,0.0,0.1,1716,0.001479667832167832,0.017482517482517484
4,validation,hard_state_fixed_transition,1,2,0.1,0.2,7,0.15385000000000001,0.2857142857142857
4,validation,hard_state_fixed_transition,1,10,0.9,1.0,167,0.9368800000000003,0.8023952095808383
4,validation,hard_state_fixed_transition,2,1,0.0,0.1,1141,0.048219307624890434,0.147239263803681
4,validation,hard_state_fixed_transition,2,10,0.9,1.0,749,0.9129199999999998,0.7757009345794392
4,validation,hard_state_fixed_transition,3,1,0.0,0.1,1883,0.005101226765799257,0.0015932023366967605
4,validation,hard_state_fixed_transition,3,8,0.7000000000000001,0.8,7,0.7813299999999999,0.5714285714285714
4,validation,soft_posterior_fixed_transition,0,1,0.0,0.1,492,0.05615814352982372,0.03861788617886179
4,validation,soft_posterior_fixed_transition,0,2,0.1,0.2,181,0.14042395433867133,0.09392265193370165
4,validation,soft_posterior_fixed_transition,0,3,0.2,0.30000000000000004,94,0.24554649461270997,0.2765957446808511
4,validation,soft_posterior_fixed_transition,0,4,0.30000000000000004,0.4,62,0.35316596707920966,0.45161290322580644
4,validation,soft_posterior_fixed_transition,0,5,0.4,0.5,73,0.450296413061627,0.4794520547945205
4,validation,soft_posterior_fixed_transition,0,6,0.5,0.6000000000000001,60,0.550064439639382,0.5333333333333333
4,validation,soft_posterior_fixed_transition,0,7,0.6000000000000001,0.7000000000000001,64,0.6515965048138332,0.6875
4,validation,soft_posterior_fixed_transition,0,8,0.7000000000000001,0.8,83,0.7490513473568958,0.7228915662650602
4,validation,soft_posterior_fixed_transition,0,9,0.8,0.9,173,0.8574281225286166,0.815028901734104
4,validation,soft_posterior_fixed_transition,0,10,0.9,1.0,608,0.9341547319628309,0.930921052631579
4,validation,soft_posterior_fixed_transition,1,1,0.0,0.1,1656,0.004487029407685652,0.00966183574879227
4,validation,soft_posterior_fixed_transition,1,2,0.1,0.2,43,0.14450295161489476,0.2558139534883721
4,validation,soft_posterior_fixed_transition,1,3,0.2,0.30000000000000004,12,0.2314132827097959,0.16666666666666666
4,validation,soft_posterior_fixed_transition,1,4,0.30000000000000004,0.4,18,0.34851434756820004,0.4444444444444444
4,validation,soft_posterior_fixed_transition,1,5,0.4,0.5,19,0.45230366331230165,0.47368421052631576
4,validation,soft_posterior_fixed_transition,1,6,0.5,0.6000000000000001,14,0.5481414062362439,0.42857142857142855
4,validation,soft_posterior_fixed_transition,1,7,0.6000000000000001,0.7000000000000001,19,0.6533163273604592,0.5789473684210527
4,validation,soft_posterior_fixed_transition,1,8,0.7000000000000001,0.8,20,0.7515918989075037,0.8
4,validation,soft_posterior_fixed_transition,1,9,0.8,0.9,35,0.8565635013232957,0.9714285714285714
4,validation,soft_posterior_fixed_transition,1,10,0.9,1.0,54,0.9217818402194774,0.9814814814814815
4,validation,soft_posterior_fixed_transition,2,1,0.0,0.1,700,0.06411464293187422,0.06
4,validation,soft_posterior_fixed_transition,2,2,0.1,0.2,192,0.14402208801210067,0.17708333333333334
4,validation,soft_posterior_fixed_transition,2,3,0.2,0.30000000000000004,100,0.2510070549066819,0.31
4,validation,soft_posterior_fixed_transition,2,4,0.30000000000000004,0.4,81,0.3475852101746286,0.345679012345679
4,validation,soft_posterior_fixed_transition,2,5,0.4,0.5,83,0.4481404784410841,0.4578313253012048
4,validation,soft_posterior_fixed_transition,2,6,0.5,0.6000000000000001,93,0.5494797301435869,0.5268817204301075
4,validation,soft_posterior_fixed_transition,2,7,0.6000000000000001,0.7000000000000001,79,0.6484723496887732,0.5569620253164557
4,validation,soft_posterior_fixed_transition,2,8,0.7000000000000001,0.8,126,0.7540272715743231,0.7222222222222222
4,validation,soft_posterior_fixed_transition,2,9,0.8,0.9,275,0.8613354105055505,0.88
4,validation,soft_posterior_fixed_transition,2,10,0.9,1.0,161,0.907166765598494,0.9316770186335404
4,validation,soft_posterior_fixed_transition,3,1,0.0,0.1,1874,0.00544139672529676,0.0016008537886872999
4,validation,soft_posterior_fixed_transition,3,2,0.1,0.2,5,0.14413209895724982,0.0
4,validation,soft_posterior_fixed_transition,3,3,0.2,0.30000000000000004,2,0.27041319743159165,0.0
4,validation,soft_posterior_fixed_transition,3,4,0.30000000000000004,0.4,3,0.3369022272025193,0.0
4,validation,soft_posterior_fixed_transition,3,5,0.4,0.5,1,0.43706075300314573,0.0
4,validation,soft_posterior_fixed_transition,3,6,0.5,0.6000000000000001,1,0.5336663489284749,1.0
4,validation,soft_posterior_fixed_transition,3,8,0.7000000000000001,0.8,4,0.7699993526029255,0.75
4,validation,hard_state_jeffreys_smoothed_transition,0,1,0.0,0.1,923,0.048338107412886376,0.1495124593716143
4,validation,hard_state_jeffreys_smoothed_transition,0,10,0.9,1.0,967,0.9625000000000004,0.8583247156153051
4,validation,hard_state_jeffreys_smoothed_transition,1,1,0.0,0.1,1716,0.0015329229950121455,0.017482517482517484
4,validation,hard_state_jeffreys_smoothed_transition,1,2,0.1,0.2,7,0.13414634146341464,0.2857142857142857
4,validation,hard_state_jeffreys_smoothed_transition,1,10,0.9,1.0,167,0.9456521739130435,0.8023952095808383
4,validation,hard_state_jeffreys_smoothed_transition,2,1,0.0,0.1,1141,0.03522546955047654,0.147239263803681
