DATE,HARD_STATE,POSTERIOR_STATE_0,POSTERIOR_STATE_1,MAX_POSTERIOR,POSTERIOR_ENTROPY,NORMALIZED_POSTERIOR_ENTROPY
2000-01-03,1,9.814112725365613e-14,0.9999999999999019,0.9999999999999019,3.0377030591355212e-12,4.38247913910805e-12
2000-01-04,1,0.00010925826859425224,0.9998907417314057,0.9998907417314057,0.0011058839416870079,0.001595453278470586
2000-01-05,0,0.11081064227445446,0.8891893577255455,0.8891893577255455,0.3482068310509173,0.5023562683608196
2000-01-06,0,0.400640951528847,0.5993590484711531,0.5993590484711531,0.6732706947696592,0.9713242925200543
2000-01-07,0,0.10451338171905104,0.8954866182809489,0.8954866182809489,0.3348881962536141,0.483141539987339
2000-01-10,0,0.3232738163832301,0.67672618361677,0.67672618361677,0.6293125847229679,0.9079061451488415
2000-01-11,0,0.32904101471533087,0.6709589852846691,0.6709589852846691,0.6334974159169775,0.9139435803593966
2000-01-12,0,0.7260751272211978,0.2739248727788021,0.7260751272211978,0.5871236472713691,0.8470403743070453
2000-01-13,0,0.7907513192867067,0.20924868071329328,0.7907513192867067,0.5129595258393512,0.7400441641051861
2000-01-14,0,0.906139799706126,0.09386020029387401,0.906139799706126,0.3113790929611464,0.4492250732515495
2000-01-18,0,0.9684016451875768,0.03159835481242326,0.9684016451875768,0.14025504734038252,0.20234526125761668
2000-01-19,0,0.991119867026597,0.008880132973402989,0.991119867026597,0.05078979159882747,0.07327418046741233
2000-01-20,0,0.9942194480045917,0.005780551995408275,0.9942194480045917,0.03555247714996051,0.051291382475566215
2000-01-21,0,0.9959621849189899,0.004037815081010162,0.9959621849189899,0.026286297006864315,0.03792311033513755
2000-01-24,0,0.8169584558710188,0.18304154412898127,0.8169584558710188,0.47597432311080734,0.6866857955424429
2000-01-25,0,0.9519326046405252,0.0480673953594749,0.9519326046405252,0.19278500213204694,0.2781299665336724
2000-01-26,0,0.9825155711834359,0.017484428816564108,0.9825155711834359,0.08808044962364422,0.12707322787130168
2000-01-27,0,0.9910644358241182,0.008935564175881747,0.9910644358241182,0.051050976572568296,0.07365099073378294
2000-01-28,0,0.6993539684876481,0.30064603151235186,0.6993539684876481,0.6114106898736058,0.8820791702271511
2000-01-31,0,0.2875199053326956,0.7124800946673044,0.7124800946673044,0.5999160835200729,0.8654959586439384
2000-02-01,0,0.5362435467614118,0.4637564532385883,0.5362435467614118,0.6905176856390954,0.9962064407176472
2000-02-02,0,0.8208937594742006,0.1791062405257994,0.8208937594742006,0.47003552738810284,0.6781179244044445
2000-02-03,0,0.8152146216658234,0.18478537833417663,0.8152146216658234,0.4785727383175207,0.6904345162753387
2000-02-04,0,0.953681563421484,0.04631843657851595,0.953681563421484,0.1875289861701429,0.2705471383706002
2000-02-07,0,0.9770435082610759,0.022956491738924154,0.9770435082610759,0.10933229868206631,0.15773316511760802
2000-02-08,0,0.9536593060353828,0.0463406939646172,0.9536593060353828,0.1875963044768263,0.27064425815781334
2000-02-09,0,0.80239209299282,0.19760790700718,0.80239209299282,0.49706834310380904,0.7171180335787591
2000-02-10,0,0.8880342339164878,0.11196576608351222,0.8880342339164878,0.3506056113322779,0.5058169767769207
2000-02-11,0,0.7867433725025509,0.21325662749744914,0.7867433725025509,0.5182396155388291,0.7476617233300717
2000-02-14,0,0.9119409315393273,0.0880590684606726,0.9119409315393273,0.29802406659661584,0.42995784294449985
2000-02-15,0,0.9684138379864373,0.031586162013562624,0.9684138379864373,0.1402133145463326,0.2022850535625984
2000-02-16,0,0.9856496906191977,0.01435030938080232,0.9856496906191977,0.0751493278089874,0.1084175625561652
2000-02-17,0,0.9936951297782293,0.00630487022177076,0.9936951297782293,0.03822815450279283,0.05515156892351631
2000-02-18,0,0.5914498996490273,0.4085501003509728,0.5914498996490273,0.6763264866899401,0.9757328683694322
2000-02-22,0,0.7492816804156066,0.2507183195843935,0.7492816804156066,0.5631229242637654,0.8124146502462257
2000-02-23,0,0.8842918428967872,0.11570815710321283,0.8842918428967872,0.35828566377213317,0.5168969503456671
2000-02-24,0,0.969524725020106,0.030475274979893874,0.969524725020106,0.13639040941277952,0.1967697672846324
2000-02-25,0,0.96478086918882,0.03521913081117989,0.96478086918882,0.15244057830793367,0.2199252663551016
2000-02-28,0,0.9798468522119034,0.020153147788096536,0.9798468522119034,0.09863454011780538,0.14229956188832135
2000-02-29,0,0.9788288104861533,0.02117118951384676,0.9788288104861533,0.1025628306024308,0.14796688708966171
2000-03-01,0,0.9894079168398511,0.010592083160148928,0.9894079168398511,0.05870485827225139,0.08469320790546651
2000-03-02,0,0.9952331504401701,0.004766849559829827,0.9952331504401701,0.03023937985134636,0.04362620335109504
