MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,SPLIT,SPLIT_START,SPLIT_END,N_STATES,STATE_LAG,EXOG_LAG,TRAIN_ROWS,EVAL_ROWS
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,0,0,2318,1890
dynamic_duration_logit,0.18939467685682904,0.955026455026455,0.08538353106360537,validation,2009-06-02,2016-12-30,2,0,0,2318,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,0,0,2318,1730
dynamic_duration_logit,0.18745570655660368,0.9554913294797688,0.08470791825220983,prediction,2017-01-03,2023-12-05,2,0,0,2318,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,0,1,2317,1890
dynamic_duration_logit,0.19445421990386583,0.955026455026455,0.08598600348033933,validation,2009-06-02,2016-12-30,2,0,1,2317,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,0,1,2317,1730
dynamic_duration_logit,0.20096410903119788,0.9520231213872833,0.08924058383281722,prediction,2017-01-03,2023-12-05,2,0,1,2317,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,0,2,2316,1890
dynamic_duration_logit,0.19778020341891642,0.955026455026455,0.08590178680415904,validation,2009-06-02,2016-12-30,2,0,2,2316,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,0,2,2316,1730
dynamic_duration_logit,0.2043000717240327,0.953757225433526,0.08923266226956665,prediction,2017-01-03,2023-12-05,2,0,2,2316,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,1,0,2318,1890
dynamic_duration_logit,0.189394676856829,0.955026455026455,0.08538353106360537,validation,2009-06-02,2016-12-30,2,1,0,2318,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,1,0,2318,1730
dynamic_duration_logit,0.18745570655660368,0.9554913294797688,0.08470791825220983,prediction,2017-01-03,2023-12-05,2,1,0,2318,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,1,1,2317,1890
dynamic_duration_logit,0.19445421990386572,0.955026455026455,0.08598600348033933,validation,2009-06-02,2016-12-30,2,1,1,2317,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,1,1,2317,1730
dynamic_duration_logit,0.2009641090311977,0.9520231213872833,0.08924058383281715,prediction,2017-01-03,2023-12-05,2,1,1,2317,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,1,2,2316,1890
dynamic_duration_logit,0.19778020341891653,0.955026455026455,0.08590178680415905,validation,2009-06-02,2016-12-30,2,1,2,2316,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,1,2,2316,1730
dynamic_duration_logit,0.20430007172403283,0.953757225433526,0.08923266226956666,prediction,2017-01-03,2023-12-05,2,1,2,2316,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,2,0,2318,1890
dynamic_duration_logit,0.189394676856829,0.955026455026455,0.08538353106360537,validation,2009-06-02,2016-12-30,2,2,0,2318,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,2,0,2318,1730
dynamic_duration_logit,0.18745570655660368,0.9554913294797688,0.08470791825220983,prediction,2017-01-03,2023-12-05,2,2,0,2318,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,2,1,2317,1890
dynamic_duration_logit,0.19445421990386572,0.955026455026455,0.08598600348033934,validation,2009-06-02,2016-12-30,2,2,1,2317,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,2,1,2317,1730
dynamic_duration_logit,0.20096410903119785,0.9520231213872833,0.08924058383281722,prediction,2017-01-03,2023-12-05,2,2,1,2317,1730
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,2,2,2316,1890
dynamic_duration_logit,0.19778020341891644,0.955026455026455,0.08590178680415904,validation,2009-06-02,2016-12-30,2,2,2,2316,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,2,2,2316,1730
dynamic_duration_logit,0.20430007172403275,0.953757225433526,0.08923266226956665,prediction,2017-01-03,2023-12-05,2,2,2,2316,1730
