MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,SPLIT,SPLIT_START,SPLIT_END,N_STATES,TRAIN_ROWS,EVAL_ROWS
fixed_hmm_transition,0.18053399680911258,0.955026455026455,0.08460232076719576,validation,2009-06-02,2016-12-30,2,2318,1890
duration_hazard_hmm,0.1805339030554714,0.955026455026455,0.08460230561740337,validation,2009-06-02,2016-12-30,2,2318,1890
fixed_hmm_transition,0.1808577466374136,0.9560693641618497,0.08321382442196532,prediction,2017-01-03,2023-12-05,2,2318,1730
duration_hazard_hmm,0.18085761602214423,0.9560693641618497,0.0832138125232633,prediction,2017-01-03,2023-12-05,2,2318,1730
