N_STATES,FROM_STATE,TO_STATE,OBSERVED_PREDICTION,FIXED_HMM,DYNAMIC_AVERAGE,DYNAMIC_MINUS_FIXED
2,0,0,0.8841463414634146,0.93975,0.9397496242957867,-3.7570421329569115e-07
2,0,1,0.11585365853658537,0.06025,0.06025037570421511,3.7570421511368135e-07
2,1,0,0.02710413694721826,0.01025,0.01025018192300031,1.8192300031000253e-07
2,1,1,0.9728958630527818,0.98975,0.9897498180769948,-1.8192300521580052e-07
4,0,0,0.7971602434077079,0.88071,0.8807091901823902,-8.098176097481868e-07
4,0,1,0.1643002028397566,0.11117,0.11117075469380246,7.546938024516336e-07
4,0,2,0.006085192697768763,0.00681,0.0068100462306809025,4.6230680902405175e-08
4,0,3,0.032454361054766734,0.00131,0.0013100088931265745,8.893126574559262e-09
4,1,0,0.07515473032714412,0.06056,0.060560563541153536,5.63541153533742e-07
4,1,1,0.9221927497789567,0.93944,0.9394394364588463,-5.635411537419088e-07
4,1,2,0.0,0.0,0.0,0.0
4,1,3,0.002652519893899204,0.0,0.0,0.0
4,2,0,0.1111111111111111,0.09878,0.09878059286551827,5.928655182618758e-07
4,2,1,0.0,0.0,0.0,0.0
4,2,2,0.7407407407407407,0.84771,0.8477090859739848,-9.140260152085133e-07
4,2,3,0.14814814814814814,0.05351,0.05351032116049686,3.211604968564319e-07
4,3,0,0.16455696202531644,0.0,0.0,0.0
4,3,1,0.0759493670886076,0.00708,0.007080028100735119,2.810073511903821e-08
4,3,2,0.05063291139240506,0.00823,0.008230032665120068,3.266512006890043e-08
4,3,3,0.7088607594936709,0.98469,0.9846899392341447,-6.07658552365109e-08
