N_STATES,STATE,TRAIN_ROWS_STATE,BETA_CONSTRAINED,BETA_UNCONSTRAINED
2,0,304,3.385443346469977e-06,-0.23742757186187244
2,1,2014,4.891973767372725e-06,-0.153130306726606
4,0,752,5.363445511637438e-06,-0.26324936059774284
4,1,1382,3.97612281480871e-06,-0.17781464478716957
4,2,41,5.363445511637438e-06,-0.07781700631978594
4,3,143,3.641827582584462e-06,-0.13635827130015468
