N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
4,STATE_LAG_0,0.02,1.0,3 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,133.0,3.0,130.0,-3.6186102582673803,0.5416429829355568
4,STATE_LAG_0,0.02,2.0,3 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,6.0,4.0,2.0,0.5877866649021191,0.7888106377466155
4,STATE_LAG_0,0.02,3.0,3 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,37.0,32.0,5.0,1.7764919970972666,0.46107202537934633
4,STATE_LAG_0,0.02,0.0,3 vs 2,-3.2792240834282866,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,3 vs 2,-3.290789471114606,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,2.0,3 vs 2,-3.603384637328642,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,3.0,3 vs 2,-3.347909504968255,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,0.0,3 vs 2,,group_weighted_multinomial_logistic_gam,state,1.0,48.0,0.0,48.0,-4.574710978503383,1.4214846311870666
4,STATE_LAG_0,0.02,1.0,3 vs 2,,group_weighted_multinomial_logistic_gam,state,1.0,6.0,3.0,3.0,0.0,0.7559289460184544
4,STATE_LAG_0,0.02,2.0,3 vs 2,,group_weighted_multinomial_logistic_gam,state,1.0,775.0,4.0,771.0,-5.144259275026942,0.4727773244374103
4,STATE_LAG_0,0.02,3.0,3 vs 2,,group_weighted_multinomial_logistic_gam,state,1.0,34.0,32.0,2.0,2.5649493574615367,0.6563301233138936
4,SPXT_LAG_0,0.02,-0.0946,1 vs 0,-3.8352946110965096,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.09208291139240507,1 vs 0,-3.838696378227264,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08956582278481012,1 vs 0,-3.842080694413863,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08704873417721519,1 vs 0,-3.845440933440287,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08453164556962026,1 vs 0,-3.848770469090512,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.08201455696202532,1 vs 0,-3.852062675148516,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07949746835443039,1 vs 0,-3.855310925398276,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07698037974683544,1 vs 0,-3.85850859362377,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07446329113924051,1 vs 0,-3.8616490536089754,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07194620253164558,1 vs 0,-3.8647256791378704,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.06942911392405063,1 vs 0,-3.867731843994431,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.0669120253164557,1 vs 0,-3.870660921962636,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.06439493670886076,1 vs 0,-3.873506286826461,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.06187784810126583,1 vs 0,-3.876261312369886,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.05936075949367089,1 vs 0,-3.8789193723768878,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.05684367088607595,1 vs 0,-3.881473840631443,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.054326582278481014,1 vs 0,-3.8839180617726705,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.05180949367088608,1 vs 0,-3.8862392017294862,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.04929240506329114,1 vs 0,-3.88841064091229,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.0467753164556962,1 vs 0,-3.8904038944604777,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.04425822784810127,1 vs 0,-3.8921904775134455,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.041741139240506334,1 vs 0,-3.8937419052105886,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.03922405063291139,1 vs 0,-3.8950296926913035,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.03670696202531645,1 vs 0,-3.896025355094985,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.03418987341772152,1 vs 0,-3.8967004075610285,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.031672784810126586,1 vs 0,-3.8970263652288315,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.029155696202531653,1 vs 0,-3.896974743237788,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.026638607594936706,1 vs 0,-3.896517056727294,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.024121518987341772,1 vs 0,-3.8956248208367468,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.02160443037974684,1 vs 0,-3.89426955070554,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.019087341772151892,1 vs 0,-3.892422761473071,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.01657025316455696,1 vs 0,-3.8900559682787335,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
